,name,price,type
0,키즈 베이비 귀달이캡 아동 모자 NK8BCF502U,"49,900원",baby
1,"""발이 따뜻한 털신발"" 쿠로미 방한실내화 [키리] 가벼운 털실내화 180~250 mm 학생 기숙사용 성인 실내화","14,900원",baby
2,[세트] 타요 롱 캐리어카 + 꼬마버스 친구들 세트 6종,"34,900원",baby
3,별의 여신 시크릿 쥬쥬 나만의 매직캐리어,"37,900원",baby
4,22FW 보아 양면 니트 머플러 (3종 택1),"37,050원",baby
5,"""두돌선물/조카선물"" BE)BD기모트레이닝세트 겨울 상하복 티셔츠 바지 22W3067202","44,200원",baby
6,"""캐치티니핑 신제품"" [캐치티니핑 신상] 알쏭달쏭 캐치티니핑3 티니핑 병원 장난감","54,900원",baby
7,헬로키티미니금고 저금통 키티금고 장난감 완구,"9,900원",baby
8,키즈 리버서블 귀달이 버킷햇 아동 모자 NK8BCF301U,"59,900원",baby
9,[현대백화점] [블루독아동/키즈2]수면 퍼 자켓(22W3054001~2)점퍼 실내복 S,"41,400원",baby
10,[현대백화점] [캉골키즈]AOCCRT00080 클럽 로고 스웨트셔츠 OC 0008,"53,100원",baby
11,키즈 방울 비니 아동 모자 NK8BCF404U,"39,900원",baby
12,[현대백화점] [캉골키즈]AOFBCB00110 코드 하프문 크로스백 OF 0011,"44,100원",baby
13,[현대백화점] [블루독아동/키즈2]BD기모 트레이닝 세트(22W3067201~3)추리닝..,"44,630원",baby
14,[현대백화점] [블루독8] 22FW CR)부클로고CP트레이닝세트 티셔츠 바지 언더웨어 ..,"53,720원",baby
15,"""간식처럼 챙겨줘요"" [조카선물] 루솔 키즈영양제 굿케어키즈 홍삼 면역젤리 1 박스( 총 20포)","21,900원",baby
16,"""간절기에 꼭 필요한"" [조카선물] 루솔 진한 배도라지즙 40포 선물박스","46,000원",baby
17,시크릿쥬쥬 시크릿 노트북,"59,900원",baby
18,"""조카선물"" 유아헤어핀 선물세트 16종 택1 (선물박스)","9,800원",baby
19,타이거 블록테이블(블록 160개+블록 테이블 1개+소책자 1권),"54,900원",baby
20,"""[백일/돌 선물]"" [기획세트] 뒹굴러 소파(래빗,베어) + 쁘띠 키즈테이블","109,000원",baby
21,[현대백화점] [피터젠슨] 유니콘 무빙 컬러링 선물세트 바이올렛 PSX62YT52M,"37,800원",baby
22,[조카선물] 하퍼스테이블 LED 모래놀이 샌드 아틀리에 세트 /촉감놀이/소근육,"110,000원",baby
23,[조카선물/신학기선물] 깔깔깔 아동 경량패딩점퍼,"32,900원",baby
24,키즈 KDY 핸드폰 가방 아동 NK8ACF612U,"29,900원",baby
25,"""조카 선물 추천"" ""색감맛집 데일리라이크"" 데일리 키즈 삭스 4p 세트 01-04 (유아동 양말 선물)","13,900원",baby
26,"""귀요미 실내화"" 마이멜로디 방한실내화 [홀라] 가벼운 털실내화 190~250mm 학생 기숙사 성인","14,900원",baby
27,동화로 배우는~코딩 컴퓨터,"65,900원",baby
28,"""생일선물"" [공주님 가방] 시크릿쥬쥬 크로스 [진주엔젤-PN246] 아동 어린이 외출용 핸드백","19,900원",baby
29,울고 웃고 말하는~ 옹알이 콩콩이,"30,900원",baby
30,"""햇살비타민 한 방울"" [조카선물] 루솔 먹이기 쉬운 키즈영양제 굿케어 비타민D 드롭","16,900원",baby
31,[조카선물] 에디슨 뽀로로 젓가락 1단계,"6,900원",baby
32,산리오 쿠로미 마이멜로디 브러쉬 모음 휴대용 빗 6종 택1,"9,900원",baby
33,유아동 겨울 헤어핀 선물세트 5종 택1 (유아헤어핀),"9,900원",baby
34,[조카선물] 스마일레드 유아헤어핀 선물세트 / 여아 선물 아기 머리 집게 똑딱 핀 삔,"17,800원",baby
35,짱구 컵 [뚜껑 스텐머그-YP9200],"13,900원",baby
36,스케이터 헬로키티 얼굴머그 레드,"10,800원",baby
37,피치웜 9부내의 8종 택1 유니프랜드,"12,900원",baby
38,뚜잇 크로스백 힙색 초등학생핸드폰가방,"11,800원",baby
39,[1+1/총2개] 에디슨 뽀로로 입체 스텐 젓가락 1+1 Set,"12,000원",baby
40,헬로키티 스푼포크케이스세트 [조용한-HK5972] 리락쿠마 쥬쥬 엘오엘 5종,"10,900원",baby
41,[조카선물]유니콘 프리미엄 팔찌 목걸이 만들기 유아 아동 아기 집콕 놀이 키트 생일 선물,"32,800원",baby
42,유아 헤어핀 선물세트 10종 택1 (선물박스),"9,900원",baby
43,포켓몬스터 더블컬러핸들컵 6종 택1,"6,900원",baby
44,"""산리오 털실내화"" 시나모롤 방한실내화 [러블리]가벼운 털실내화 230~250 mm 학생 기숙사용 성인 실내화","15,900원",baby
45,"""식사시간이 즐거워 "" (수저+컵 세트상품) 쥬쥬 수저세트 [루미-SJ2733] + 시크릿쥬쥬 손잡이 컵 2P세트","13,900원",baby
46,"""조카선물"" 노래가 나오는 아기상어 뮤직 자동 손세정기 (LG 손세정제 1ea 포함)","39,900원",baby
47,산리오 마이멜로디/쿠로미 스트랩에코백 2종 택1,"16,000원",baby
48,짱구 컵 [손잡이 도형 2P-YP9190] 남아 여아 2P세트 컵 4종류,"5,900원",baby
49,바바베어라운지웨어세트_BP23OS366,"59,000원",baby
50,테디코튼테리맨투맨티셔츠_BP23TC322,"49,000원",baby
51,[현대백화점] 갭키즈 [토들러남아 2-5세] 라인드 로고 후드 집업 5종 택1 52..,"40,500원",baby
52,유아 아기 헤어핀 선물세트 14종 택1 (선물박스),"10,900원",baby
53,키즈 IV878SA1 유아 운동화 NKPMCF315H,"69,000원",baby
54,테디니트가디건_BP24KC324,"79,000원",baby
55,짱구는 못말려 멜라민 사각 앞접시,"6,900원",baby
