,name,type
0,"푸드장 프리미엄 구이 선물세트 1.15kg(부채살,살치살,토시살,척아이롤)",birthday
1,[선물포장] 핸드크림 50ML (6종 중 택1),birthday
2,[각인/선물포장] 립 글로우,birthday
3,하겐다즈 프리미엄 수제 아이스크림 케이크 리얼블랑 (바닐라+초코),birthday
4,WON+WON 스피릿 SET - 원소주 스피릿(2ea),birthday
5,"[단독/홀리데이 선물포장] ""더현대 품절템"" 비건 팩클렌저 4종 디스커버리 키트 (+엽서)",birthday
6,[NEW센트/선물포장] 핸드 크림 50ML,birthday
7,"농협안심한우 ""고마워서 어찌하누""1등급 일품구이채반 1kg(등심+채끝+안심)",birthday
8,"""에너지 선물"" 정관장 활기력 에너지박스(20ml*20병) 특별한 선물",birthday
9,[선물하기 단독][NEW] 달바 '보습명가' 미스트 세럼&핸드 세럼 기프트 세트,birthday
10,농협안심한우 소한마리 한우선물세트 1등급 1.4kg,birthday
11,"""명품 비타민"" 오쏘몰 이뮨 멀티비타민&미네랄 7입 (동아제약 공식 직수입)",birthday
12,[NEW센트/선물포장] 바디 크림 50ML,birthday
13,"""에너지 선물"" 정관장 활기력 20ml x 10병",birthday
14,"""제니PICK"" [선물포장] 바디워시 (4종 택1)",birthday
15,"[선물포장 / 무료각인] ""맥 베스트"" 텐더토크 립 밤 (3G)",birthday
16,[미니퍼퓸 증정/선물포장] 퍼퓸 핸드크림 (6종 택1),birthday
17,[무료각인&선물포장] 입생로랑 1위 벨벳 틴트 세트(+리브르 1.2ml 향수) '톡별',birthday
18,[NEW센트/선물포장] 바디 앤 핸드 워시 100ML,birthday
19,블랙앵거스 명품구이 선물세트 1.1kg(소갈비살300g*2+살치살200g+부채살300g),birthday
20,[선물포장] 미니 퍼퓸 핸드크림 (5종 택1),birthday
21,"""명품 비타민"" 오쏘몰 이뮨 멀티비타민&미네랄 30일분 (동아제약 공식 직수입)",birthday
22,레저렉션 아로마틱 핸드 밤,birthday
23,"""언제나 응원합니다"" 떠먹는 스트로베리 초콜릿 생크림 + 아메리카노 (R) 2잔",birthday
24,뿌링클+치즈볼+콜라1.25L,birthday
25,갈비살 300g+부채살 300g 외 3종,birthday
26,딸기 생크림 1호,birthday
27,[센트룸] 멀티비타민 미네랄 구미(80구미),birthday
28,"""소중한 당신에게"" 기프트카드 10만원권",birthday
29,록시땅 베스트 핸드 크림 & 립 세트 (9종 택1)*,birthday
30,스트로베리 초콜릿 생크림,birthday
31,[고디바] 다크 초콜릿 케이크,birthday
32,"[박은빈 포토카드] ""면역력을 1포하라"" 홍삼정에브리타임 밸런스(30일분)",birthday
33,[홀리데이 패키지/각인] '품절벨벳틴트' 센슈얼파우더매트리퀴드,birthday
34,"""면역력 증진"" 정원삼 6년근 고려홍삼정 365스틱 30포 + 3포 증정",birthday
35,스윗 투게더 (6pcs),birthday
36,[선물하기 단독] 달바 '비건' 화이트 트러플 미스트 세럼 세트(100ml+50ml),birthday
37,"""숙면선물"" 록시땅 릴랙싱 필로우미스트 패키지 (특별한선물 '톡별')",birthday
38,뚜레쥬르 올스타 케이크,birthday
39,[선물상자] 멀티비타민 6종 택1 (맨/우먼/칼슘+D/에너지B),birthday
40,[선물포장] 이터널유 Mano 울 장갑 22종 택1,birthday
41,"22년 첫 출하 달콤한"" 제주 고당도 노지감귤 2.5kg (로얄과/11Brix이상)",birthday
42,[MLB] 루키 언스트럭쳐 볼캡 21종 택1,birthday
43,[무료각인&선물포장] 리브르 헤어미스트 30ml,birthday
44,"""팝콘먹다 손스침세트"" 2D영화관람권 2매 + 고소팝콘L 1개 + 콜라M 2",birthday
45,"이맘때""보습""[챙겨줘서 고마워]멀티밤+아이밤_선물포장&오일증정",birthday
46,(오리지널)블록버스터 4 피자 L + 콜라1.25L,birthday
47,[선물포장] 바디로션 300ML (6종 중 택1),birthday
48,"""숙면선물"" [단독/파우치증정] 바디오일 & 우드 괄사 세트 (4종 중 택1)",birthday
49,"""소중한 당신에게"" 기프트카드 5만원권",birthday
50,"""얼굴광채""선물해드려요[주름개선&보습&윤광케어]멀티밤_오일증정&선물포장&엽서",birthday
51,[선물포장/무료각인] 맥 립스틱 (3G),birthday
52,"""🎁인기건강선물🎁"" 니몸내몸 영양젤리 3종 구미 선물세트(비타민C,비타민D,루테인)[선물포장]",birthday
53,[홀리데이 패키지/각인] '미니쿠션증정' 센슈얼 쉬어스테인틴트(톡별),birthday
54,"[단독 선물포장🎁] ""너를 위한 따뜻한 선물""얼모스트블루 인기 목도리 모음 21종/여자친구 생일 선물 포장",birthday
55,[각인/선물포장] 디올 어딕트 립스틱,birthday
56,"""기분좋은 힐링""홍대맛집 코만스 티라미수 케이크 4종 선물세트(톡별)",birthday
57,"""특별한 생일선물"" 케이크 6종을 한번에 버라이어티팩 R1",birthday
58,[선물하기 단독] 퍼펙트 페어: 핸드 밤 & 립 케어 (립밤 or 립살브),birthday
59,레저렉션 아로마틱 핸드 워시,birthday
60,마이 투썸 하트,birthday
61,'부드럽고 촉촉한 식감의' 오설록 녹차 치즈케이크,birthday
62,오설록 오~땡큐 티박스 6종 선물세트(총30입),birthday
63,[친구맺고 3%적립] [전세계 No.1 핸드크림] 록시땅 핸드 크림 75ml (6종 중 택1),birthday
64,"""장수와 부의 상징"" 스페로스페라 크레페케이크 (톡별)",birthday
65,골드킹 콤보+뿌링치즈볼+케이준프라이+콜라 1.25L,birthday
66,"""오둥이 입니다만"" 오둥이 모찌 바디필로우 (톡별)",birthday
67,"농협안심한우 1등급 ""갈비의 정석"" 구이세트",birthday
68,"""홈카페선물"" 벨루 곰돌이 세트(내열 머그컵2+우드소서2+우드스푼2+엽서+선물포장)외 2종",birthday
69,[단독/선물포장] 센트 페어링 코롱 듀오,birthday
70,[생일/감사/축하선물] 모로칸오일 트리트먼트 50ml+증정 2종,birthday
71,[선물포장] 핸드워시 300ML (6종 중 택1),birthday
72,[단독/스퀴저 증정] 퍼퓸 핸드 크림 30ml (3종 중 택1),birthday
73,"""흑백감성 아날로그"" 하만 일회용 흑백 필름카메라 2종",birthday
74,[홀리데이 선물포장 / 홀리데이 카드] 핸드크림 & 립 세트,birthday
75,[무료각인&선물포장] NEW 캔디 글레이즈 컬러밤,birthday
76,요기요 상품권 3만원권(교환권),birthday
77,요기요 상품권 5만원권(교환권),birthday
78,[선물하기 단독] 달바 '비건' 페이스&핸드 해피버스데이 기프트 세트(미스트세럼+핸드세럼),birthday
79,[각인/선물포장] 미스 디올 블루밍 부케 오 드 뚜왈렛 30ML,birthday
80,[선물포장] 리브르 핸드 크림(+리브르 향수 1.2ml),birthday
81,[선물세트] 퍼퓸 핸드케어 미니 세트 (핸드크림+손 소독제),birthday
82,[선물포장] 체인 핸드크림 30ml (4종 택1),birthday
83,[따뜻함을 담아] F/W 제이로렌 남녀 머플러 (10종 택1),birthday
84,사봉 바디 스크럽 320g (11종 택1),birthday
85,"[선물포장] ""장미수토너"" 아쿠아 디 로즈 250ml 선물세트 (+토너스프레이)",birthday
86,[각인/선물포장] 미스 디올 블루밍 부케 헤어 미스트,birthday
87,[홀리데이 선물포장 / 홀리데이 카드] 울트라 훼이셜 크림 50ml,birthday
88,"""면역력을 1포하라"" 정관장 홍삼정에브리타임(30일분)",birthday
89,고추바사삭+모짜치즈볼+콜라1.25L,birthday
90,[선물포장] '감각적인 향' 마르마르디 핸드크림 듀오세트 (2종 택1),birthday
91,트윙클 램프 스노우볼 크리스마스 오르골 무드등 장식 소품 4type,birthday
92,"[단독/선물포장] ""윈터에디션"" 유즈 헤어퍼퓸 & 스크런치 기프트 세트 (메세지카드 증정)",birthday
93,WON SHOT SET - 원소주 스피릿(1ea)&니트잔(2ea),birthday
94,[선물세트] 핸드크림 & 비건 립밤 세트 (6종 중 택1),birthday
95,[누적판매 3만개/당일발송] 로그 어텀 무지 머플러 (23color),birthday
96,[선물포장/무료각인] 맥 BEST 립밤 핸드크림 듀오 (카카오톡 단독 선물세트) (3G),birthday
97,[선물포장] 사봉 스크럽 320g 듀오 세트 (10종 택1) (톡별),birthday
98,"""제니PICK"" [단독 GIFT / 퍼퓸포켓 증정] 퍼퓸 10ml (6종 택1)",birthday
99,[비건] 달바 화이트 트러플 3 솔루션 기프트 박스(미스트 52ml*3)(톡별),birthday
100,레모나프렌즈 카카오 레모나산 하트캔 (2g x 70포)/KF94 마스크&쇼핑백 증정,birthday
101,[단독/쇼핑백+추가증정] 캐스키드슨 핸드&바디 4종세트(워시+로션+핸드크림+배쓰솔트),birthday
102,"""스트레스 풀리는"" 짱구 라인쿠션 유리토끼",birthday
103,[선물포장] 디올 어딕트 립 틴트,birthday
104,[록시땅1위선물] 록시땅 샤워 젤 250ml (12종 중 택1),birthday
105,[6다이닝] 이베리코 돼지고기 황제살+목살+항정살+듀록삼겹살 4종 1kg,birthday
106,"""SNS 인기아이템"" 2가지 불빛 미니조명 렉슨미나 S사이즈",birthday
107,"""면역력이 필요할때"" 얼라이브 멀티비타민 60정 (2개월분) 6종 택1 / 멀티,맨,우먼,50+,밀크씨슬,칼슘",birthday
108,"""행복당충전"" 디디얌 수제 뚱카롱(마카롱) 12구 세트",birthday
109,[본사공식정품] 고비 몽골 산양 금장 캐시미어100% 머플러 6종 택1 (+선물포장),birthday
110,[선물포장] 엉크르 드 뽀 쿠션&틴트 세트(+쿠션 미니어처) '톡별',birthday
111,후라이드 반+양념 반+콜라1.25L,birthday
112,[친구맺고 3%적립] 베스트 핸드 듀오 세트(17종 택1),birthday
113,"""잘 될거에요"" 떠먹는 티라미수 + 아메리카노 (R) 2잔",birthday
114,프랑스 프리미엄 마카롱 (12입/선물세트),birthday
115,블랙알리오+블랙치즈볼+콜라 1.25L,birthday
116,[각인/선물포장] 코롱 30ML,birthday
117,순천참한우 1등급 1.2kg (등심600g+안심300g+채끝300g),birthday
118,"""열렬히 응원할게요"" 떠먹는 스트로베리 초콜릿 생크림 + 떠먹는 아이스박스 + 아메리카노 (R) 2잔",birthday
119,"[홀리데이/선물포장] ""더현대 품절템"" 비건 팩클렌저 4종 택1 (+세안밴드 GIFT)",birthday
120,"[친구 맺고 3%적립] ""따뜻한 선물추천"" 제이에스티나 BASIC 머플러 8종 택1",birthday
121,"""기분에 따라 골라쓰는"" 솔리드 퍼퓸 8종 택1/생일 선물",birthday
122,(오리지널)블랙타이거슈림프 L + 콜라1.25L,birthday
123,핸드 포마드 히노키,birthday
124,"""따뜻한선물"" 불멍 캠핑 화로 난로 불무드 에탄올램프 (에탄올+캔들라이터 증정)",birthday
125,[선물포장] 바이레도 핸드크림 30ml (6종 택1),birthday
126,"""편안한 휴식"" [리추얼 선물세트] 샌달우드 괄사 & 비건 오일 2종 (톡별)",birthday
127,바디 클렌저,birthday
128,"""지금은 힘낼시간"" GNM 조정석 간건강 밀크씨슬 실리마린 선물세트 (총 4개월분)",birthday
129,[선물포장] 퍼퓸드 핸드&바디 워시 250ml (3종 택1),birthday
130,[코닥 선물박스] M35 필름 다회용 토이카메라 + 코닥 컬러필름 1롤 Set 모음전,birthday
131,"""인테리어부터캠핑까지"" (리뷰선물)""레트로 LED 감성 폭발""인사이디 조명 무드등 블루투스 LP 턴테이블 스피커",birthday
132,[무료각인&선물포장] 고보습 샤인 립스틱,birthday
133,"[각인/선물포장] ""헤라 1위"" 블랙 쿠션 (+파우치 증정)",birthday
134,"""제니PICK"" [선물포장] 바디로션 (3종 택1)",birthday
135,[신규향추가/선물포장] 왁스 타블렛 2개입 (9종 택1),birthday
136,리얼 생크림 2호,birthday
137,[각인/선물포장] 미스 디올 블루밍 부케 롤러-펄 오 드 뚜왈렛,birthday
138,"""활력이필요한당신에게"" [추천 BEST] GNC 멀티비타민 + 밀크씨슬 선물세트",birthday
139,[홀리데이 선물포장/홀리데이 카드] 키엘 립밤 15ml (5종 중 택1),birthday
140,"[친구맺고 3%적립] [단독/선물포장] ""향기로운 일상"" 바디로션&미니 핸드크림 패키지 세트(톡별)",birthday
141,"""하루의 피로가 싹"" [선물추천/후기가 증명하는 만족도] 알로코리아 저주파 목 어깨 마사지기 전기 전신 안마기",birthday
