,name,price,type
0,티파니 T 스마일 펜던트(스몰),"1,450,000원",luxury
1,[친구맺고 3%적립] [본사정품/쇼핑백증정] Dazzling Swan 핑크스완 네크리스 5469989,"155,000원",luxury
2,리턴 투 티파니 티파니 블루 더블 하트 태그 펜던트,"385,000원",luxury
3,[친구맺고 3%적립] [본사정품/쇼핑백증정] Ginger 로즈골드 화이트 뱅글 (5274892),"155,000원",luxury
4,리턴 투 티파니 티파니 블루 더블 하트 태그 다이아몬드 펜던트,"580,000원",luxury
5,사랑에 눈이 멀다(Blind for Love) 실버 목걸이,"380,000원",luxury
6,티파니 T 스마일 브레이슬릿,"1,450,000원",luxury
7,세이브더칠드런 브레이슬릿,"725,000원",luxury
8,티파니 하트 키(미니),"1,410,000원",luxury
9,리턴 투 티파니 더블 하트 태그 펜던트,"1,780,000원",luxury
10,리턴 투 티파니 더블 하트 태그 펜던트,"385,000원",luxury
11,"엘사 퍼레티 오픈 하트 펜던트(18K 로즈 골드, 7mm)","850,000원",luxury
12,티파니 하드웨어 마이크로 링크 브레이슬릿,"810,000원",luxury
13,인터로킹 G 펜던트 목걸이,"350,000원",luxury
14,리턴 투 티파니 티파니 블루 하트 태그 비드 브레이슬릿,"385,000원",luxury
15,[친구맺고 3%적립] [본사정품/쇼핑백증정] Swa Infinity 체인 로즈골드 팔찌 M 5518871,"175,000원",luxury
16,발렌티노 VLOGO 시그니처 브레이슬릿 1Y2J0M67-LMG-0NO,"225,000원",luxury
17,[GG 마몽] 더블 G 디테일의 실버 반지,"500,000원",luxury
18,인터로킹 G 그루멧 체인 반지,"490,000원",luxury
19,[친구맺고 3%적립] [골든듀] Best 미니듀뉴3 목걸이 (18K/다이아몬드),"441,000원",luxury
20,"[친구맺고 3%적립] ""행운을 가져다주는"" [선물하기단독][본사정품/쇼핑백증정] Towards 로즈골드 목걸이 5094964","135,000원",luxury
21,[친구맺고 3%적립] [본사정품/쇼핑백증정] Swan Pave 네크리스 (5187404),"135,000원",luxury
22,"엘사 퍼레티 오픈 하트 펜던트(스털링 실버, 11mm)","425,000원",luxury
23,리턴 투 티파니 하트 태그 비드 브레이슬릿,"385,000원",luxury
24,[친구맺고 3%적립] [공식] 미니 바스 릴리프 초커 목걸이 실버,"380,000원",luxury
25,"[친구맺고 3%적립] ""고급선물"" [단독구성/에코백 증정] 스윗블룸1P 목걸이 (18K/다이아몬드) (211700333)","360,000원",luxury
26,[친구맺고 3%적립] [단독][탄생석] 디디에두보 드봉디디 천연 탄생석 목걸이 12종 택1 (톡별) (JDRNPVF711R),11%,luxury
27,[친구맺고 3%적립] [단독] '당신의 기록이 늘 반짝이길' 스와로브스키 크리스탈 볼펜 + 명함지갑세트 (톡별) (크리스탈라인 볼펜 화이트),"60,000원",luxury
28,[친구맺고 3%적립] [공식] 비비안웨스트우드 BEST 목걸이 6종 택1,"280,000원",luxury
29,발렌티노 V로고 랩 어라운드 팔찌 1W2J0C31-ZXL-0SM,"270,000원",luxury
30,[친구맺고 3%적립] [본사정품/쇼핑백증정] Generation 로즈골드 목걸이 5511011,"155,000원",luxury
31,[공식] 씬 라인 플랫 오브 목걸이 실버,"230,000원",luxury
32,[친구맺고 3%적립] [본사정품/쇼핑백증정] Tennis 로즈골드 브레이슬릿 5464948,"275,000원",luxury
33,[친구맺고 3%적립] [본사정품/쇼핑백증정] Ortyx 로듐 팔찌 S/M 5643731_5643733,"205,000원",luxury
34,"[응원선물추천] ""행운을 선물하세요"" [단독구성] 판도라 굿럭 참 네크리스 세트 (참 구매시 목걸이줄 증정)","98,000원",luxury
35,[단독] 안나수이 'Lucky Days and love' 글로시 팔찌 5종 택1 (톡별),24%,luxury
36,[패키지제공&백화점A/S가능] [공식입점] 판도라 여성 베스트 반지 8종 택1,"78,000원",luxury
37,[패키지제공&백화점A/S가능] [공식] 판도라 베스트 반지 10종 택1,"68,000원",luxury
38,[친구맺고 3%적립] [단독/신민아착용] 디디에두보 '쥬멤므' 므와 하트 실버 목걸이 2종 택1 (톡별),20%,luxury
39,[친구맺고 3%적립] [단독][탄생석] 디디에두보 드봉디디 천연 탄생석 팔찌 12종 택1 (톡별),11%,luxury
40,[친구맺고 3%적립] [선물하기단독][본사정품/쇼핑백증정] ATTRACT SQUARE 로듐 네크리스 (5510696),"115,000원",luxury
41,[친구맺고 3%적립] [본사정품/쇼핑백증정] Iconic Swan Small 로즈골드 블랙 네크리스 (5204133),"135,000원",luxury
42,"[친구맺고 3%적립] ""행운을 가져다주는"" [선물하기단독][본사정품/쇼핑백증정] Towards 로듐 목걸이 5422290","135,000원",luxury
43,[친구맺고 3%적립] [본사정품/쇼핑백증정] Creativity 로즈골드 목걸이 5202446,"115,000원",luxury
44,안나수이 'My Rose' 탄생석 로즈골드 실버목걸이+보석함 12종 택1 (+톡별),"75,000원",luxury
45,[공식입점] 판도라 셀리스티얼 스파클링 스타 솔리테어 링_190026C01,"78,000원",luxury
46,미니 비제로원 네크리스,"2,800,000원",luxury
47,세이브더칠드런 네크리스,"775,000원",luxury
48,티파니 T1 와이드 힌지드 뱅글,"9,650,000원",luxury
49,"""단독 (선물포장)"" FRED 포스텐 브레이슬릿 (L)","2,020,000원",luxury
50,티파니 T 스마일 다이아몬드 펜던트(스몰),"3,710,000원",luxury
51,디바스 드림 네크리스,"6,500,000원",luxury
52,티파니 노트 펜던트 (18K 로즈 골드),"2,960,000원",luxury
53,[선물하기 단독 선런칭] 리턴 투 티파니 러브스트럭 하트 태그 펜던트,"385,000원",luxury
54,불가리 불가리 네크리스,"2,420,000원",luxury
55,티파니 하드웨어 마이크로 링크 브레이슬릿(18K 로즈 골드),"3,850,000원",luxury
56,"""단독 (선물포장)"" FRED 포스텐 브레이슬릿 (L)","1,920,000원",luxury
57,"""선물 포장 서비스"" FRED 포스텐 브레이슬릿 (M)","3,760,000원",luxury
58,"""선물 포장 서비스"" FRED 포스텐 브레이슬릿 (M)","3,190,000원",luxury
59,[패키지제공&백화점A/S가능] [공식입점] 판도라 신탄생석 반지 12종 택1,"78,000원",luxury
60,사랑에 눈이 멀다(Blind for Love) 실버 반지,"420,000원",luxury
61,[선물하기 단독 선런칭] 리턴 투 티파니 러브스트럭 하트 태그 브레이슬릿,"810,000원",luxury
62,[친구맺고 3%적립] [선물하기단독][본사정품/쇼핑백증정] ATTRACT SQUARE 로즈골드 네크리스 (5510698),"115,000원",luxury
63,"""선물 포장 서비스"" FRED 포스텐 브레이슬릿 (S)","2,330,000원",luxury
64,리턴 투 티파니 비드 네크리스,"770,000원",luxury
65,[친구맺고 3%적립] [본사정품/쇼핑백증정] Creativity Circle Small 로즈골드 이어링 (5199827),"105,000원",luxury
66,티파니 T 스마일 다이아몬드 펜던트(미니),"2,080,000원",luxury
67,[패키지제공&백화점A/S가능] [공식입점] 판도라 스파클링 인피니티 칼리어 네크리스_398821C01-50,"118,000원",luxury
68,티파니 T 스마일 펜던트(라지),"1,930,000원",luxury
69,[트레이드마크] 하트 펜던트 목걸이,"370,000원",luxury
70,인터로킹 G 디테일의 실버 팔찌,"450,000원",luxury
71,[패키지제공&백화점A/S가능] [생일선물추천] BEST 판도라 모멘츠 실버 클라습 팔찌 + 탄생석 참세트 12종 택1,"158,000원",luxury
72,[친구맺고 3%적립] 듀얼디디 실버 팔찌 (듀얼디디 팔찌 [JDRBPVF21XX]),10%,luxury
73,에르메스 H700001FO 1Z 클릭아슈 CLIC H 로즈골드 로즈 캔더 뱅글 팔찌,"1,290,000원",luxury
74,티파니 T 스마일 이어링,"1,260,000원",luxury
75,[친구맺고 3%적립] [본사정품/쇼핑백증정] Dancing Swan 로듐 목걸이 5514421,"245,000원",luxury
76,리턴 투 티파니 하트 태그 스터드 이어링,"385,000원",luxury
77,[패키지제공&백화점A/S가능] [생일선물추천] 공식 판도라 탄생석 참 목걸이세트 12종 택1,"88,000원",luxury
78,발렌티노 VLOGO 시그니처 펄 드롭 이어링 1W2J0E36-UXM-0O3,"369,000원",luxury
79,CLASSIC RING 3컬러 커플링 우정반지 커플반지 우정링,"52,200원",luxury
80,[친구맺고 3%적립] [디디에두보] 미스두 실버 목걸이 2종 택 1,15%,luxury
81,인터로킹 G 실버 목걸이,"500,000원",luxury
82,[친구맺고 3% 적립] [단독10%OFF] [토리버치 공식] 토리버치 주얼리 세트,"297,000원",luxury
83,[친구맺고 3%적립] [본사정품/쇼핑백증정] Iconic Swan 로즈골드 블랙 네크리스 (5204134),"155,000원",luxury
