,name,price,type
0,"""편안한 휴식"" [리추얼 선물세트] 샌달우드 괄사 & 비건 오일 2종 (톡별)","29,000원",small_luxury
1,록시땅 베스트 핸드 크림 & 립 세트 (9종 택1)*,"29,000원",small_luxury
2,[선물하기 단독] 달바 '비건' 페이스&핸드 해피버스데이 기프트 세트(미스트세럼+핸드세럼),"26,900원",small_luxury
3,[단독/핸드타올증정] 라벤더 바디워시 & 바디로션 2종 세트,"38,000원",small_luxury
4,디프로젝트 차량용방향제_블랙라이언,"49,000원",small_luxury
5,"""향기 선물"" ""홀리데이성냥/트레이 증정"" 페이퍼 인센스 디스커버리 세트(5가지 향기)(톡별)","20,000원",small_luxury
6,레저렉션 아로마틱 핸드 밤,"31,000원",small_luxury
7,[NEW센트/선물포장] 핸드 크림 50ML,"43,000원",small_luxury
8,[NEW센트/선물포장] 바디 크림 50ML,"43,000원",small_luxury
9,[NEW센트/선물포장] 바디 앤 핸드 워시 100ML,"35,000원",small_luxury
10,[선물포장] 리브르 핸드 크림(+리브르 향수 1.2ml),"47,000원",small_luxury
11,[미니퍼퓸 증정/선물포장] 퍼퓸 핸드크림 (6종 택1),"32,000원",small_luxury
12,[선물포장/무료각인] 맥 BEST 립밤 핸드크림 듀오 (카카오톡 단독 선물세트) (3G),"41,000원",small_luxury
13,[무료각인&선물포장] 리브르 헤어미스트 30ml,"68,000원",small_luxury
14,[선물포장] 핸드크림 50ML (6종 중 택1),"21,000원",small_luxury
15,"""제니PICK"" [선물포장] 바디워시 (4종 택1)","33,000원",small_luxury
16,"""숙면선물"" 록시땅 릴랙싱 필로우미스트 패키지 (특별한선물 '톡별')","36,000원",small_luxury
17,[선물하기 단독] 퍼펙트 페어: 핸드 밤 & 립 케어 (립밤 or 립살브),"47,000원",small_luxury
18,"""숙면선물"" [단독/파우치증정] 바디오일 & 우드 괄사 세트 (4종 중 택1)","35,000원",small_luxury
19,"이맘때""보습""[챙겨줘서 고마워]멀티밤+아이밤_선물포장&오일증정","41,000원",small_luxury
20,[선물하기 단독][NEW] 달바 '보습명가' 미스트 세럼&핸드 세럼 기프트 세트,"25,900원",small_luxury
21,[각인/선물포장] 미스 디올 블루밍 부케 헤어 미스트,"68,000원",small_luxury
22,N5 로 오 드 뚜왈렛 35ml,"109,000원",small_luxury
23,"[단독/선물포장] ""윈터에디션"" 유즈 헤어퍼퓸 & 스크런치 기프트 세트 (메세지카드 증정)","21,900원",small_luxury
24,[카카오단독] '48시간 수분지속' 랑콤 장미수 핸드크림 75ml (+이돌 샘플 증정),"27,000원",small_luxury
25,[생일/감사/축하선물] 모로칸오일 트리트먼트 50ml+증정 2종,"37,000원",small_luxury
26,[단독/선물포장] 센트 페어링 코롱 듀오,"58,000원",small_luxury
27,레저렉션 아로마틱 핸드 워시,"47,000원",small_luxury
28,[선물세트] 퍼퓸 핸드케어 미니 세트 (핸드크림+손 소독제),"26,500원",small_luxury
29,[선물하기 단독] 달바 '비건' 화이트 트러플 미스트 세럼 세트(100ml+50ml),"30,900원",small_luxury
30,"[선물포장] ""장미수토너"" 아쿠아 디 로즈 250ml 선물세트 (+토너스프레이)","38,000원",small_luxury
31,[홀리데이 패키지/각인] '미니쿠션증정' 센슈얼 쉬어스테인틴트(톡별),"33,300원",small_luxury
32,[리미티드/선물포장] 미스 디올 뷰티 리추얼,"134,000원",small_luxury
33,[홀리데이 선물포장 / 홀리데이 카드] 핸드크림 & 립 세트,"30,000원",small_luxury
34,[선물포장] 바이레도 바디로션 225ml (6종 택1),"88,000원",small_luxury
35,[단독/핸드타월 제공] 에센셜 핸드 케어 듀오,"78,000원",small_luxury
36,사봉 바디 스크럽 320g (11종 택1),"45,000원",small_luxury
37,"""센스있는 선물 추천"" 곰돌이 브릭 베어 차량용 방향제 선물 패키지 (2가지향 증정)","22,000원",small_luxury
38,[선물포장] 퍼퓸드 핸드&바디 워시 250ml (3종 택1),"32,000원",small_luxury
39,"[단독/홀리데이 선물포장] ""더현대 품절템"" 비건 팩클렌저 4종 디스커버리 키트 (+엽서)","25,700원",small_luxury
40,[미세스콜드] [스트레스 해소 선물] 천연 아로마 테라피 감성 기프트 세트,"39,900원",small_luxury
41,[웨지우드 카카오단독] 티타임 머그 선물 세트 (머그 2p + TEA 25입),"58,000원",small_luxury
42,[각인/선물포장] 미스 디올 블루밍 부케 롤러-펄 오 드 뚜왈렛,"68,000원",small_luxury
43,[록시땅1위선물] 록시땅 샤워 젤 250ml (12종 중 택1),"29,000원",small_luxury
44,WON SHOT SET - 원소주 스피릿(1ea)&니트잔(2ea),"38,900원",small_luxury
45,[선물포장] 입생로랑 립 밤 퍼펙터,"45,000원",small_luxury
46,[신규향추가/선물포장] 왁스 타블렛 2개입 (9종 택1),"42,000원",small_luxury
47,"""24일의 설렘"" [홀리데이 한정판] 캐스키드슨 크리스마스 어드벤트 캘린더 (24종)(+쇼핑백)","45,000원",small_luxury
48,[선물포장] 쟈도르 오 드 퍼퓸 헤어 미스트,"68,000원",small_luxury
49,[선물포장] 발망헤어 실크 퍼퓸 50ml (헤어퍼퓸&컨디셔닝),"28,000원",small_luxury
50,[비건] 달바 화이트 트러플 3 솔루션 기프트 박스(미스트 52ml*3)(톡별),"31,900원",small_luxury
51,"[홀리데이/선물포장] ""더현대 품절템"" 비건 팩클렌저 4종 택1 (+세안밴드 GIFT)","22,700원",small_luxury
52,[선물포장] 디퓨저 165ML,"134,000원",small_luxury
53,"[선물포장] ""향기가득 생일선물"" 샴퓨어 헤어 케어 세트","59,000원",small_luxury
54,WON THE ROCK SET - 원소주 스피릿(2ea)&온더락잔(2ea),"61,900원",small_luxury
55,[선물포장] 리브르 오 드 뚜왈렛 30ml,"89,000원",small_luxury
56,[선물포장] 바뇨쉬우마 라이트패키지(바디워시) 8종 택1,"62,000원",small_luxury
57,[감각적인 선물] 티로직 계수나무 머그 2P 우드받침 2P세트 2종 택1,"30,000원",small_luxury
58,"[친구맺고 3%적립] [단독/선물포장] ""향기로운 일상"" 바디로션&미니 핸드크림 패키지 세트(톡별)","85,000원",small_luxury
59,"""꽃 향기 가득"" 랑방 에끌라 EDP 30ML 세트 (미니 4.5ML+쇼핑백) (톡별)","32,500원",small_luxury
60,[쇼핑백] 메종마르지엘라 레이지 선데이 모닝 핸드크림 30ml,"42,000원",small_luxury
61,[선물하기 단독] 달바 핸드 세럼&립 세럼 기프트 세트,"19,900원",small_luxury
62,"[샘플 2종] ""달콤한 꿀잠선물"" 슬리피 - 기프트 (샤워젤+바디로션)/생일 선물","37,000원",small_luxury
63,"""SNS 인기아이템"" 2가지 불빛 미니조명 렉슨미나 S사이즈","39,900원",small_luxury
64,WON BAR COCKTAIL SET - 원소주 스피릿(1ea)&COCKTAIL ITEM,"48,900원",small_luxury
65,"""드립커피계의 명품"" 싱가폴 바샤커피 혼합 드립백 패키지 기프트박스 (쇼핑백 증정)","66,000원",small_luxury
66,블루 드 샤넬 오 드 빠르펭 50ml,"127,000원",small_luxury
67,[선물포장] 필로우 미스트 50ML,"59,000원",small_luxury
68,[친구맺고 3%적립] 홈 핸드&바디 워시 300ml (4종 택1),"28,000원",small_luxury
69,[단독/10%off] 라부르켓 립밤+핸드크림30ml 틴케이스 선물세트 (향 7종 택1),"39,600원",small_luxury
70,바디 클렌저,"56,000원",small_luxury
71,[선물포장] 핸드워시 300ML (6종 중 택1),"32,000원",small_luxury
72,[탱글엔젤] '여신같은 머릿결' 프로 퍼펙트 세트 (톡별),"24,900원",small_luxury
73,"'너는 꽃이야, 너의 계절에 아름답게 피는 꽃' 14K 탄생화 귀걸이+하트패키지(톡별)","39,800원",small_luxury
74,[선물포장/스파출라증정] 울트라 훼이셜 크림 50ml (+샘플 2종),"45,000원",small_luxury
75,립케어 (립밤 or 립살브),"21,000원",small_luxury
76,[각인/선물포장] 포에버 스킨 글로우 쿠션,"89,000원",small_luxury
77,[선물포장/메세지카드] 최대 18평 턴테이블 전자 디퓨저세트 집들이 인테리어 소품,"45,600원",small_luxury
78,[홀리데이][선물포장] 향기보습 핸드크림 & 립밤 기프트 세트,"20,000원",small_luxury
79,[선물포장] 미스 디올 로즈 핸드 크림 50ML,"68,000원",small_luxury
80,[쇼핑백] 메종마르지엘라 레이지 선데이 모닝 미니 캔들 70g,"52,000원",small_luxury
81,"""제니PICK"" [단독 GIFT / 퍼퓸포켓 증정] 퍼퓸 10ml (6종 택1)","36,500원",small_luxury
82,"""맥주맨날먹을거야"" 홈카페선물 튤립 고블렛 맥주잔 2인세트 (라탄코스터 플레이트)","25,900원",small_luxury
83,[선물하기 단독] '비건' 퍼스트 미스트 세럼 세트(100ml+50m+파우치),"31,900원",small_luxury
84,[선물포장] 바디워시 300ML (6종 중 택1),"36,000원",small_luxury
85,[토트백포장] 발렌티노 고-스프레이 (보체 비바 오 드 퍼퓸),"40,000원",small_luxury
86,[가을선물] 아몬드 샤워오일 250ml & 스톤 괄사(홈 스파 마사지 바) 세트,"34,000원",small_luxury
87,[각인서비스] 멀티퍼퓸 100ml (4종 중 택1),"35,000원",small_luxury
88,"""굿바이 스트레스"" 스트레스 픽스 오일 세트 (톡별)","36,000원",small_luxury
89,"""얼굴광채""선물해드려요[주름개선&보습&윤광케어]멀티밤_오일증정&선물포장&엽서","29,400원",small_luxury
90,'꿀잠 로션' 슬리피 95g - 바디 로션,"24,000원",small_luxury
91,[선물세트] 베르사체 브라이트 크리스탈 EDT 30ML + 베르사체 미니어처 (톡별),"35,000원",small_luxury
92,"""기분전환 힐링"" 오 비타미네 바디 미스트 50ml 세트 (+샤워젤75ml)","34,000원",small_luxury
93,[단독/스퀴저 증정] 퍼퓸 핸드 크림 30ml (3종 중 택1),"15,000원",small_luxury
94,"[선물포장/메세지카드] ""은은한 꽃향"" 시그니처 퍼퓸 코튼메모리 50ml","49,000원",small_luxury
95,[선물포장] 카 디퓨저,"126,000원",small_luxury
96,"""[선물추천]"" TWG Tea 디카페인 티백 베스트셀렉션 (5종택일)","36,500원",small_luxury
97,[선물포장] 비타민 E 립 컨디셔너 15ML,"51,000원",small_luxury
98,"[선물포장/각인서비스] ""특별함을 더해주는"" 모발 엉킴 방지 우든 패들 브러쉬","40,000원",small_luxury
99,"""홀리데이성냥 증정"" 옵타움 슈가 홀리데이 캔들 & 모빌 세트","32,900원",small_luxury
100,보스톤 와인고블렛 화이트 310ml 2P 선물세트,"45,000원",small_luxury
101,"'생일 축하해요, 해피 배쓰데이' 배쓰 밤 3종 선물세트 (톡별)/생일선물","40,000원",small_luxury
102,[선물포장] 몽 파리 헤어미스트 30ml,"68,000원",small_luxury
103,[선물포장] 리브르 르 퍼퓸 10ml(+르 퍼퓸 케이스),"40,000원",small_luxury
104,[선물포장] NEW 몽파리 오 드 뚜왈렛 루미에르 30ml,"89,000원",small_luxury
