,name,price,type,material,madefrom,color
0,리틀퍼피클럽 핫팩 파우치 세트 라이언 어피치,29000,touched,,중국,
1,리틀퍼피클럽 양털부츠 라이언 어피치,25000,touched,폴리에스터  ,중국,
2,꿀잠친구 고슴도치 리틀라이언,42000,touched, 표면  폴리에스터    폴리우레탄    충전재  폴리에스터  ,중국,혼합
3, 고흥 유자를 선물합니다  자임 꿀유자차   ,13900,touched,,,
4,오설록 오 땡큐 티박스  선물세트  ,22000,touched,해당사항없음,,
5,리틀퍼피클럽 싱글이불담요,49000,touched,폴리에스터  ,중국,혼합
6, 당일배송   BEST  TANDY 탠디 베러캐시 캐시미어 머플러     선물포장 ,24000,touched,   ,중국,
7, 열렬히 응원할게요  떠먹는 스트로베리 초콜릿 생크림   떠먹는 아이스박스   아메리카노  R  ,22200,touched,,,
8, 잘 될거에요  떠먹는 티라미수   아메리카노  R  ,15500,touched,,,
9,떠먹는 스트로베리 초콜릿 생크림   떠먹는 아이스박스   아메리카노  R  ,26700,touched,,,
10, 합격 땅땅땅  떠먹는 바닐라 슈크림   아메리카노  R  ,15500,touched,,,
11, 효돈농협  효돈 제주감귤 에디션  고당도 감귤   특품 ,25800,touched,,,
12,ORGA 액상차 선물세트 꿀유자 꿀모과 꿀생강 ,28900,touched,,,
13, 여유로운 하루  떠먹는 티라미수   아메리카노  R ,11000,touched,,,
14,그릭요거트 딸기 생크림 피스   아메리카노  R ,10700,touched,,,
15, 달콤하게힘이나는하루  허니카라멜브레드 수플레치즈 케이크 아메리카노 ,14900,touched,,,
16,수제청 선물세트 레몬생강청배도라지대추생강청  과일청,36000,touched,해당없음,,
17, 선물추천  꽃과일향 차 TEA 선물세트   ,25000,touched,해당없음,해당사항 없음,
18,트윙클 램프 스노우볼 크리스마스 오르골 무드등 장식 소품 ,23900,touched,,중국,
19, 오둥이 입니다만  오둥이 모찌 바디필로우  톡별 ,29800,touched,,,
20,NEW  겨울 핫템  카카오프렌즈 얼굴형 손난로 보조배터리 ,34900,touched,,,
21, 친구 맺고  적립   따뜻한 선물추천  제이에스티나 BASIC 머플러  ,38400,touched,,,
22, 감사합니다  초코티라미수 케이크 아메리카노 ,10300,touched,,,
23, 본사공식정품  고비 몽골 산양 금장   머플러     선물포장 ,99000,touched,캐시미어  ,몽골,
24, 매일 예쁘고 포근해  수면 파자마 상하의   남녀커플 상품 추가,24900,touched,,,
25, 따뜻함을 담아  F W 제이로렌 남녀 머플러    ,19900,touched,상품페이지 참조,,
26, 헤지스  멜란지 울캐시미어혼방 머플러  ,75800,touched,울   캐시미어  ,,
27, 선물포장  이터널유 Mano 울 장갑  ,33000,touched,,,
28, 뭘 좋아할지 몰라서 다 준비했어  털 실내화 슬리퍼     더스트백포장,13900,touched,,중국,
29, 선물제격  보르딘 콜드브루 더치커피 알록달록 앰플     ,19900,touched,        ,,
30, 따뜻한 마음  캔들 워머   프리미엄자 향초 세트  미세 빛조절 ,25900,touched,,,
31, 선물추천  TWG Tea 티백 베스트셀렉션   ,36500,touched,,"TWG TEA COMPANY PTE LTD Singapore/ 나드에프앤비(주) 서울시 성동구 광나루로6길 20, 703호",
32, 잘자요 꿀린이  꿀잠타는 기린이 모찌 바디필로우  톡별 ,29900,touched,,,
33,MMFD  캐시믹스 캐시미어 머플러,30000,touched,모    캐시미어  ,,
34, 풍성하고 화사하게  떠먹는 바닐라 슈크림   시트러스 부케 ,18700,touched,,,
35, 손목 무릎통증  전자파없는 오색약손 다온,22500,touched,,,
36,집순이 빅후드담요 곰도리ver   빅후드담요 양말 슬리퍼set   톡별 ,34900,touched,,,
37, 선물추천  러블리 티박스 Lovely Tea Bo   ,20000,touched,해당없음,해당사항 없음,
38, 오늘도 따뜻할 거예요  히트템 핫팩  메세지박스 손소독제   톡별   heattem ,11900,touched,,,
39, 프리미어스  티백  에디션 차 선물세트 ,35000,touched,해당없음,,
40,국물의한수 온가족       ,34900,touched,,,
41, 따뜻한선물  불멍 캠핑 화로 난로 불무드 에탄올램프  에탄올 캔들라이터 증정 ,23900,touched,,중국OEM,
42,F W 보송보송 귀여운 동물 슬리퍼 실내화 세트    ,12900,touched,,중국,
43, 내 손에 구름  단미 구름 양면발열 USB 충전식 휴대용 손난로 보조배터리   CLOUD ,21900,touched,,,
44, 손안에 작은 보일러    손난로 보조배터리   총    톡별   HW JJAK ,26900,touched,,,
45, 따뜻한 선물   BEST  TANDY 캐솔드 캐시미어   머플러   ,59000,touched,캐시미어  ,중국,
46, 스트레스 날려  시바스키 배치기 모찌 뚱쿠션 바디필로우    톡별 ,29900,touched,겉면  폴리에스터   충전재  폴리에스터  ,중국,"시바(베이지),허스키(그레이)"
47, 선물제격  보르딘 콜드브루 더치커피 알록달록 앰플       보르딘F B ,36900,touched,        ,,
48, 경복궁  한우사골 실속세트  한우사골고기곰탕 사골고기도가니탕 한우사골곰탕 ,25000,touched,해당사항 없음,해당사항 없음,
49, 따뜻한 마음처럼  남녀공용 부드러운 체크 국산 목도리 머플러  ,16900,touched,,,
50, 수고했어 오늘도  클래식 가토 쇼콜라 피스   아메리카노  R ,11000,touched,,,
51, 연말선물추천  프린지 버진 울 머플러   color ,159000,touched,,,
52, 겨울 선물 추천  따뜻한  온열 찜질 목도리 스마트 넥워머 Gwarmer 가머,49900,touched,,CHINA,
53, 단독 선물포장🎁   너를 위한 따뜻한 선물 얼모스트블루 인기 목도리 모음  여자친구 생일 선물 포장,24800,touched,acrylic  ,대한민국,
54,양키캔들 향초 라지자 호른 캔들워머 세트  국내산  높이  밝기조절 ,39800,touched,,,
55, 물방울이 역행하는   거꾸로 물멍가습기   전용충전기 증정 ,54900,touched,,중국,
56, 홈캠핑   불멍감성  타닥타닥 모닥불 장작 LED 원목 무드등,19900,touched,,중국,
57,     방콕 집순이 후드 담요  집순이담요 ,29900,touched,,,
58, 진로 한 잠 어때   진로 소주병 빅 바디필로우  쿠션  톡별 ,39900,touched,겉감    ／충전재    ,중국,
59, 여자친구선물  현미온미 아기곰 허리 배 찜질팩 벨트형  톡별 ,39800,touched,,대한민국,
60, 따뜻한 귀요미  모찌모찌 뽀글 핫팩인형 ,8900,touched,,,
61, 단독 선물포장🎁   따뜻한 마음을 담아  블러쉬 체크 머플러   여자친구 생일 선물 포장,28000,touched,acrylic  ,대한민국,
62, 꾸덕꾸덕한 간식까지 담은  오설록 오땡큐 티박스 차 간식세트 ,31000,touched,,,
63, 따뜻한 선물  집순이 수족냉증러를 위한 선물 수면양말 실내화 양털 부츠 양말,18900,touched,,,
64, 따뜻함을 담아❤️       F W 남녀 커플머플러  ,32900,touched,상품페이지 참조,,
65, 출산선물 부모님선물  현미온미 손목무릎 찜질팩 기프트세트,29800,touched,,대한민국,
66, 춘식이와 힐링  춘식이 LED 디퓨저 무드등  톡별 ,42000,touched,,"[디퓨저, 리드] 한국 [피규어, 유리병, 트레이, LED 전구, 조화] 중국",
67, 누적판매  당일발송  로그 어텀 무지 머플러   ,13900,touched,,,
68, 아프지마요  따뜻하게 레몬생강청  수제과일청 ,15900,touched,해당없음,,
69, 나를 위한 힐링 타임이 필요할때  불타는 무드등 A형 불멍 생일선물 집들이선물 인테리어,19800,touched,,,
70, 작지만 강력한가습기   인테코 에이티  스누피 무드등 미니가습기,29000,touched,,,
71,아이보우 충전식 온수 찜질기 온열 찜질팩 IVB ,27800,touched,,,
72, 포근함을 더한  울랄라 보아털 베스트 파자마 모음,38900,touched,,,"화이트,아이보리"
