,name,price,type,제품명,"수입품의 경우 생산자, 수입자 및 제조국",식품의 유형,제조업소의 명칭과 소재지,"제조연월일(포장일 또는 생산연도), 유통기한 ","포장단위별 내용물의 용량(중량), 수량",원재료명 및 함량,영양성분,유전자 변형 식품의 경우 표시,소비자 안전을 위한 주의사항,수입식품인 경우 “수입식품안전관리특별법에 따른 수입신고를 필함”의 문구,소비자 상담 관련 전화번호,품명 및 모델명,재질,구성품,크기,출시년월,제조사,제조국,수입식품안전관리특별법에 따른 수입신고,품질보증기준,A/S 책임자,종류,소재,치수,취급시 주의사항,품목 및 제품명,용도 및 제형,제조연월 및 유통기한,"중량, 용량, 매수","효과,효능",제조국 및 제조사,어린이 보호포장 대상 제품 유무,제품에 사용된 화학물질 명칭,사용상 주의사항,신고번호 또는 승인번호,발행자,유효기간,교환권 공급자,이용조건,이용 가능 매장,환불조건 및 방법,소비자상담 관련 전화번호,품목 또는 명칭,"포장단위별 내용물의 용량(중량), 수량, 크기",생산자,농수산물의 원산지 표시에 관한 법률에 따른 원산지,"제조연월일(포장일 또는 생산연도), 유통기한",관련법상 표시사항,상품구성,보관방법 또는 취급방법,용량 또는 중량,제품 주요 사양,사용기한 또는 개봉 후 사용기간,사용방법,화장품제조업자 및 화장품책임판매업자,화장품법에 따라 기재·표시하여야 하는 모든 성분,기능성 화장품의 경우 화장품법에 따른 식품의약품안전처 심사필 유무,사용할 때 주의사항,소비자상담관련 전화번호,제품 소재,색상,제품구성,세탁방법/취급시 주의사항,"법에 의한 인증, 허가 등을 받았음을 확인할 수 있는 경우 그에 대한 사항",A/S 책임자와 전화번호 또는 소비자상담 관련 전화번호,기능정보,"섭취량, 섭취방법, 섭취시 주의사항 및 부작용 발생 가능성",영양정보,질병의 예방 및 치료를 위한 의약품이 아니라는 내용의 표현,제조연월,KC 인증 필 유무,정격전압/소비전력,"크기,무게",주요 사양,HB21-26-0383,사용연령 또는 체중범위,"취급방법 및 취급시 주의사항, 안전표시 (주의, 경고 등)","크기, 중량",소재/순도/밴드재질,중량,제조자,착용 시 주의사항,보증서 제공 여부,도서명,저자,출판사,쪽수,출간일,목차 또는 책소개
0,"""달콤한 선물"" 허쉬 초콜릿칩 쿠키 456g / 대형통","9,900원",samll_gift,상품상세설명 참조,상품상세설명 참조,과자,상세페이지참고,"상세페이지참고, 상세페이지참고","상세페이지참고, 상세페이지참고",상세페이지참고,상세페이지참고,해당없음,상품상세설명 참조,해당없음,02-723-8175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,'네컷앨범증정' 귀여움이 2배 [마이 버디 or 젤리 베어 유리컵 2p 선물 세트],"14,900원",samll_gift,,,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"[생일선물추천] [탄생석&별자리] ""당신의 하루가 늘 별처럼 빛나길"" 탄생석&별자리 두 줄 팔찌 (톡별)","11,900원",samll_gift,,,,,,,,,,,,,,,,,,(주)제이프로인터네셔널,상품상세설명 참조,,공정거래위원회 고시(소비자분쟁해결기준)에 의거하여 보상해 드립니다.,02-779-6964,상세페이지참고,상세페이지참고,상세페이지참고,상세페이지참고,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"""당충전 선물"" ""너에게는 내가 최고의 보약"" 초콜릿 과자 패키지(톡별)","19,900원",samll_gift,상품상세설명 참조,상품상세설명 참조,상세페이지 참조,상세페이지 참조,"본 상품은 상시제조 상품인 관계로 제조연월/유통기한 정보 제공이 어렵습니다.(tel. 02-2201-9748)으로 연락시, 정보확인 가능합니다., 본 상품은 상시제조 상품인 관계로 제조연월/유통기한 정보 제공이 어렵습니다.(tel. 02-2201-9748)으로 연락시, 정보확인 가능합니다.","상세페이지 참조, 상세페이지 참조",상세페이지 참조,상세페이지 참조,해당없음,상품상세설명 참조,식품위생법에 따른 수입신고를 필함,02-2201-9748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,[크리스마스] 오트밀크로 만든 카카올라 생초콜릿 5종 & 유기농우유로 만든 꼬르지엘모 생초콜릿 5종,"16,900원",samll_gift,상품상세설명 참조,상품상세설명 참조,생초콜릿 : 초콜릿 가공품,생초콜릿 : 정안초콜릿,"상시제조, 제품 후면 별도표기","140g, 20pcs (카카올라), 16pcs (꼬르지엘모)",상세페이지 참조,제품후면 별도표기,해당사항없음,상품상세설명 참조,해당사항없음,02-529-0972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,'반짝반짝 빛나는 너에게' 크리스탈 메리고/애플 소이캔들 + 로고 성냥증정 [선물포장],"12,500원",samll_gift,,,,,,,,,,,,010-8860-7554,,,,,,,,,,,,,,,루비스 소이캔들,용도 : 방향용 / 제형 : 연소형,주문후 3일 이내 제조/해당 없음,상품상세설명 참조,해당 없음,상품상세설명 참조,해당 없음,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,프랑스 프리미엄 마카롱 (12입/선물세트),"13,900원",samll_gift,상품상세설명 참조,상품상세설명 참조,과자(가열하지 않고 섭취하는 냉동식품),상세페이지참조,"제품개별표시, 제품측면별도표기일까지","154g, 1",상세페이지참조,상세페이지참조,해당사항없음,상품상세설명 참조,식품위생법에 따른 수입신고를 필함,031-895-5751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"""언제나 응원합니다"" 떠먹는 스트로베리 초콜릿 생크림 + 아메리카노 (R) 2잔","15,700원",samll_gift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(주)카카오,2022년 5월 31일 이전 발급 : 발급일 포함 94일 / 2022년 6월 1일 이후 발급 : 발급일 포함 367일 ※ 주문일 확인 방법 : 선물함 &gt; 사용정보,주식회사 즐거운,상품상세 설명 참조,상품상세설명참조,"구매자취소(청약철회) 가능 기간까지는 구매자가 취소를 요청할수 있으며 실제 결제 금액의 100%가 구매자에게 결제 취소/ 환불 됩니다. 이후에는 수신자가 환불을 요청할수 있으며 실제 결제 금액의 90%가 수신자에게 환불 됩니다.(구매자와 수신자가 동일하다면 원결제 수단으로 결제 취소/ 환불) 선물취소, 환불은 선물함에서 직접 할수 있습니다.",1544-2431 (통화료 발생 / 평일 9시 ~ 19시),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"""잘 될거에요"" 떠먹는 티라미수 + 아메리카노 (R) 2잔","15,500원",samll_gift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(주)카카오,2022년 5월 31일 이전 발급 : 발급일 포함 94일 / 2022년 6월 1일 이후 발급 : 발급일 포함 367일 ※ 주문일 확인 방법 : 선물함 &gt; 사용정보,주식회사 즐거운,상품상세 설명 참조,상품상세설명참조,"구매자취소(청약철회) 가능 기간까지는 구매자가 취소를 요청할수 있으며 실제 결제 금액의 100%가 구매자에게 결제 취소/ 환불 됩니다. 이후에는 수신자가 환불을 요청할수 있으며 실제 결제 금액의 90%가 수신자에게 환불 됩니다.(구매자와 수신자가 동일하다면 원결제 수단으로 결제 취소/ 환불) 선물취소, 환불은 선물함에서 직접 할수 있습니다.",1544-2431 (통화료 발생 / 평일 9시 ~ 19시),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"""우리 사이 변치말자"" 떠먹는 아이스박스 + 아메리카노 (R) 2잔","15,500원",samll_gift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(주)카카오,2022년 5월 31일 이전 발급 : 발급일 포함 94일 / 2022년 6월 1일 이후 발급 : 발급일 포함 367일 ※ 주문일 확인 방법 : 선물함 &gt; 사용정보,주식회사 즐거운,상품상세 설명 참조,상품상세설명참조,"구매자취소(청약철회) 가능 기간까지는 구매자가 취소를 요청할수 있으며 실제 결제 금액의 100%가 구매자에게 결제 취소/ 환불 됩니다. 이후에는 수신자가 환불을 요청할수 있으며 실제 결제 금액의 90%가 수신자에게 환불 됩니다.(구매자와 수신자가 동일하다면 원결제 수단으로 결제 취소/ 환불) 선물취소, 환불은 선물함에서 직접 할수 있습니다.",1544-2431 (통화료 발생 / 평일 9시 ~ 19시),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
