,name,price,type,종류,소재,치수,제조사,제조국,취급시 주의사항,품질보증기준,A/S 책임자,제품 소재,색상,품명 및 모델명,재질,사용연령 또는 체중범위,출시년월,"취급방법 및 취급시 주의사항, 안전표시 (주의, 경고 등)","크기, 중량",KC 인증 필 유무,세탁방법/취급시 주의사항,제조연월,크기,제품명,식품의 유형,제조업소의 명칭과 소재지,기능정보,"섭취량, 섭취방법, 섭취시 주의사항 및 부작용 발생 가능성","제조연월일(포장일 또는 생산연도), 유통기한","포장단위별 내용물의 용량(중량), 수량",원재료명 및 함량,영양정보,질병의 예방 및 치료를 위한 의약품이 아니라는 내용의 표현,유전자 변형 식품의 경우 표시,수입식품인 경우 “수입식품안전관리특별법에 따른 수입신고를 필함”의 문구,소비자 상담 관련 전화번호,소비자 안전을 위한 주의사항,"수입품의 경우 생산자, 수입자 및 제조국","제조연월일(포장일 또는 생산연도), 유통기한 ",영양성분,제품구성,"법에 의한 인증, 허가 등을 받았음을 확인할 수 있는 경우 그에 대한 사항",A/S 책임자와 전화번호 또는 소비자상담 관련 전화번호,구성품,수입식품안전관리특별법에 따른 수입신고
0,키즈 베이비 귀달이캡 아동 모자 NK8BCF502U,"49,900원",baby,모자,"폴리에스터 100% (심지,보강재,상표,무늬,레이스,밴드,자수,장식 제외)",상세이미지참조,(주)이랜드월드뉴발란스키즈사업부/(주)이랜드월드뉴발란스키즈사업부,베트남,케어라벨참조,관련법 및 소비자분쟁해결기준에 따름,뉴발란스키즈고객상담실/080-999-0456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"""발이 따뜻한 털신발"" 쿠로미 방한실내화 [키리] 가벼운 털실내화 180~250 mm 학생 기숙사용 성인 실내화","14,900원",baby,,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,[세트] 타요 롱 캐리어카 + 꼬마버스 친구들 세트 6종,"34,900원",baby,,,,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,
3,별의 여신 시크릿 쥬쥬 나만의 매직캐리어,"37,900원",baby,,,,상세페이지 참조,상세페이지 참조,,상세페이지 참조,상세페이지 참조,,상세페이지 참조,상세페이지 참조,상세페이지 참조,상세페이지 참조,상세페이지 참조,상세페이지 참조,상세페이지 참조,상세페이지 참조,,,,,,,,,,,,,,,,,,,,,,,,,
4,22FW 보아 양면 니트 머플러 (3종 택1),"37,050원",baby,머플러,겉감 : 폴리에스터 100%. 안감 : 폴리에스터 100%. 충전재 : 폴리에스터 100%.,F(실측 정보는 상세페이지 참조),삼성물산 패션부문,대한민국,1. 이 제품은 반드시 손세탁하십시오. (기계세탁 불가)   2. 표백제를 사용하거나 물에 30분 이상 담가 놓지 마십시오.   3. 짙은 색상과 연한 색상의 제품은 분리하여 세탁하십시오.   4. 짙은 색상의 경우 일광에 지속적으로 노출되면 탈색될 수 있습니다.   5. 제품이 마르기 전에 형태를 잡아주면 원형에 가깝게 복원됩니다.,1. 본 제품은 정부 고시 소비자분쟁해결 기준에 의거하여 고객의 피해를 보상해드립니다.,삼성물산 패션부문 15990007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"""두돌선물/조카선물"" BE)BD기모트레이닝세트 겨울 상하복 티셔츠 바지 22W3067202","44,200원",baby,,,"100,110,120,130,145,155",금강섬유,중국,,관련법 및 소비자 분쟁 해결 기준에 따름,1577-0087,"겉감 : 면 57%, 면 40%, 폴리우레탄 3%","MG)멜란지그레이,MN)민트,PK)핑크",,,,,,,,손세탁 30도중성 / 염소표백 금지 / 짜지 마시오 / 뉘어서 그늘건조  작은 부품이 탈락되면 삼킬 수 있으니 주의하여 주십시오. 본 상품은 삶지 마시고 단독세탁 하십시오. 세제에 30분 이상 담가두지 마시고 세탁 후 바로 건조하여 주십시오. 자수/나염이 손상될 수 있으니 반드시 뒤집어 손세탁 하십시오. 건조기 사용은 금하여 주시기 바랍니다.,2022년 8월,,,,,,,,,,,,,,,,,,,,,,,
6,"""캐치티니핑 신제품"" [캐치티니핑 신상] 알쏭달쏭 캐치티니핑3 티니핑 병원 장난감","54,900원",baby,,,,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,
7,헬로키티미니금고 저금통 키티금고 장난감 완구,"9,900원",baby,,,,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,
8,키즈 리버서블 귀달이 버킷햇 아동 모자 NK8BCF301U,"59,900원",baby,모자,"겉감 : 면 60% , 나일론 40% , 안감 : 폴리에스터 100%, (심지,보강재,상표,무늬,레이스,밴드.자수,장식 제외)",상세이미지참조,(주)이랜드월드뉴발란스키즈사업부/(주)이랜드월드뉴발란스키즈사업부,베트남,케어라벨참조,관련법 및 소비자분쟁해결기준에 따름,뉴발란스키즈고객상담실/080-999-0456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,[현대백화점] [블루독아동/키즈2]수면 퍼 자켓(22W3054001~2)점퍼 실내복 S,"41,400원",baby,,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,
