,name,price,type,품명 및 모델명,색상,재질,제조사,제조국,사용연령 또는 체중범위,출시년월,"취급방법 및 취급시 주의사항, 안전표시 (주의, 경고 등)","크기, 중량",KC 인증 필 유무,품질보증기준,A/S 책임자,구성품,크기,수입식품안전관리특별법에 따른 수입신고,"법에 의한 인증, 허가 등을 받았음을 확인할 수 있는 경우 그에 대한 사항",A/S 책임자와 전화번호 또는 소비자상담 관련 전화번호,정격전압/소비전력,"크기,무게",주요 사양,종류,소재,치수,취급시 주의사항,제품 소재,제품구성,세탁방법/취급시 주의사항,도서명,저자,출판사,쪽수,출간일,목차 또는 책소개,품목 및 제품명,용도 및 제형,제조연월 및 유통기한,"중량, 용량, 매수","효과,효능",제조국 및 제조사,어린이 보호포장 대상 제품 유무,제품에 사용된 화학물질 명칭,사용상 주의사항,신고번호 또는 승인번호,소비자 상담 관련 전화번호,품명,주요 소재,배송 설치 비용,"크기,중량",상품별 세부사양
0,냥냥 라이언 인형,"29,000원",funny,냥냥 라이언 인형 8809814928584,혼합,"[표면] 폴리에스터 96%, 폴리우레탄 4% [충전재] 폴리에스터 100%",토이스토리,중국,만 3세 이상,2022.10,1. 포장은 반드시 부모님(보호자)께서 개봉해 주시고 분리수거해 주십시오. 2. 제품 용도 이외에는 사용하지 마십시오. 3. 입에 넣고 물거나 빨지 않도록 주의하십시오. 4. 불에 직접 닿거나 가까이하지 마십시오. 5. 세탁기 사용을 금하고 손으로 세탁하여 주십시오. 6. 물에 젖을 경우 그늘에서 말려 주십시오.,"190*150*290mm, 260g",CB063R10164-2007,본 제품은 공정거래위원회 고시 소비자 분쟁해결기준에 의거 교환 및 보상을 받으실 수 있습니다.,카카오프렌즈 고객센터 1577-6263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"""딱! 한잔만 해요"" 알럽하우스 대형소주잔 한방울잔 2P (+오광엽서1장)","9,800원",funny,알럽하우스 왕소주잔,,봉규산유리,by,상품상세설명 참조,,2019.03,,,,공정위에서 정한 기준에 따름,알럽하우스 안심센터 010-2262-8588,알럽하우스 왕소주잔 2P,상품상세참조,식품위생법에 따른 수입신고를 필함,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,꼬리가 움직이는 춘식이 필로우,"29,000원",funny,꼬리가 움직이는 춘식이 필로우 8809814928140,혼합,"[표면] 폴리에스터 96%, 폴리우레탄 4% [충전재] 폴리에스터 100%",토이스토리,중국,만 3세 이상,2022.10,1. 포장은 반드시 부모님(보호자)께서 개봉해 주시고 분리수거해 주십시오. 2. 제품 용도 이외에는 사용하지 마십시오. 3. 입에 넣고 물거나 빨지 않도록 주의하십시오. 4. 불에 직접 닿거나 가까이하지 마십시오. 5. 세탁기 사용을 금하고 손으로 세탁하여 주십시오. 6. 물에 젖을 경우 그늘에서 말려 주십시오.,"140*250*200mm, 215g",CB063R10164-2005,본 제품은 공정거래위원회 고시 소비자 분쟁해결기준에 의거 교환 및 보상을 받으실 수 있습니다.,카카오프렌즈 고객센터 1577-6263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,대충 만든 춘식인데요 롱팔인형,"20,000원",funny,대충 만든 춘식인데요 롱팔인형 8809814928560,혼합,"[표면] 폴리에스터 96%, 폴리우레탄 4% [솜] 폴리에스터 100%",토이스토리,중국,만 3세이상,2022.09,1. 포장은 반드시 부모님(보호자)께서 개봉해 주시고 분리수거해 주십시오. 2. 제품 용도 이외에는 사용하지 마십시오. 3. 입에 넣고 물거나 빨지 않도록 주의하십시오. 4. 불에 직접 닿거나 가까이하지 마십시오. 5. 세탁기 사용을 금하고 손으로 세탁하여 주십시오. 6. 물에 젖을 경우 그늘에서 말려 주십시오.,"34 X 9 X 43 CM, 200g",CB063R10162-2004,본 제품은 공정거래위원회 고시 소비자 분쟁해결기준에 의거 교환 및 보상을 받으실 수 있습니다.,카카오프렌즈 고객센터 1577-6263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"""쓸모없는 선물"" 움직이는 멕시코 선인장 (+녹음기능, 노래) 춤추는 인형 생일선물 쓸데없는 신박한 선물","19,800원",funny,Dancing Cactus,,,"Yangzhou Power Dream Factory Tools Co., Ltd (에고이즘)",중국,,,,,,,,,,,R-R-Slz-dancing-cactus,010-2552-8957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"""쓸모없는 선물"" 별의 컵이 비니 생일선물 쓸데없는 신박한 선물","8,900원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"""NEW 소주메이트"" 수고한 당신을 위한 혼술, 로이체 자동 소주 디스펜서+소주잔 (톡별)","25,900원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,2020년 12월,,,상품상세설명 참조,관련 법 및 소비자 분쟁해결 규정에 따름,(주)로이체 02-711-0077,,,,,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,[1+1/총2개세트] 방콕 집순이 후드 담요 (집순이담요),"29,900원",funny,방콕 집순이 후드담요,,,바나나빌딩,상품상세설명 참조,,,,,,,,,,,해당사항 없음,070-7649-1717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"""스트레스 풀리는"" 짱구 라인쿠션 유리토끼","22,500원",funny,짱구 라인쿠션 유리토끼,브라운,폴리에스터,(주)누리플러스,중국,3세이상,2022.03~,입으로 물거나 빨지 마시오. 불에 직접 닿거나 화기에가까이 두지 말 것!,20X48cm / 330g,안전인증,A/S 책임자,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,오늘 밤 '핫하게' 코끼리 이벤트 남성 티팬티 속옷 기념일 쓸모없는 선물,"6,900원",funny,,,,상품상세설명 참조,중국,,,,,,상품상세설명 참조,02-6956-6788(월~금 10:00~17:00 점심시간13:00~14:00),,,,,,,,,언더웨어,상품상세설명 참조,상품상세설명 참조,"손세탁권장, 건조기 사용 금지",,,,,,,,,,,,,,,,,,,,,,,,,
10,"""응원/힐링"" 반려 돌 키우기 애완 힐링템 스트레스OUT 감성 생일선물 쓸데없는 신박한 선물","12,800원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"""진로 한 잠 어때?"" 진로 소주병 빅 바디필로우 100cm 쿠션 (톡별)","39,900원",funny,,상세페이지 기재,,(주)나라홈데코,중국,,,,,,공정거래위원회 고시 소비자 분쟁 해결기준에 따름,070-4335-5522,,,,,,,,,,,25x100 cm,,겉감 - 폴리에스터100%／충전재 - 폴리에스터100%,필로우 1개,· 미지근한 물에 중성세제를 사용하십시오. · 물에 오래 담궈 놓지 마십시오. · 스팀 건조 하지 하십시오. · 세제는 되도록 적게 사용하십시오. · 섬유유연제 사용 하지 마십시오. · 불에 닿지 않도록 주의하십시오. · 소비자 부주의로 인한 제품 손실은 보상 되지 않으니 주의하십시오.,,,,,,,,,,,,,,,,,,,,,,
12,"""SNS 인싸템"" 따라쟁이 춤추는 선인장(녹음기능,노래) 생일 인형 집들이 특이한 인테리어 소품","15,800원",funny,Dancing cactus,,,Tianchang City Mengqiqi Toys Business Department(수입원:부카즈),중국,,,,,,,,,,,방송통신기자재 적합평가:R-R-Bkz-dancingcactus / [어린이제품]안전확인:CB067R1275-2001,01071182743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"""쓸모없는 선물"" 사이파이 안경 유니크 스타일 마이콜 선글라스 코스튬 생일선물 쓸데없는 신박한 선물","7,800원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"""쓸모없는 선물"" 엘리자베스 오리 잠옷 홈파티 방콕 코스튬 집순이 생일선물 쓸데없는 선물","38,900원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"""쓸모없는 선물"" 근육 빵빵 몸짱 티셔츠 코스튬 생일선물 쓸데없는 신박한 선물","16,900원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"""소맥치노"" 집에서 말아먹는 크림 소맥 제조기(소주+맥주)+전용 맥주잔 2개(톡별)","29,900원",funny,CR-B-404,,,티피엘테크놀로지,한국,,20210219,,,R-R-CEB-CR-B-404,상품상세설명 참조,상품상세설명 참조,,,,,,3V,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"""쓸모없는 선물"" 트롤 라이터 케이스 생일선물 쓸데없는 신박한 선물","8,900원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"""귀여운 선물 "" 식빵 오리 인형 키링 갸우뚱 열쇠고리 자동차 키 인싸템 생일선물 쓸데없는 신박한 선물","9,800원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,버블 윙스틱 비누방울 블링블링 요술봉 공주님들의 비눗방울 놀이,"8,900원",funny,버블 윙스틱 비누방울,상세페이지참조,상세페이지참조,상세페이지참조,상품상세설명 참조,상세페이지참조,2019년 4월이후,상세페이지참조,상세페이지참조,상세페이지참조,상세페이지참조,상세페이지참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"""쓸모없는 선물"" 맥주모자 비어캡 드링킹헬멧 생일선물 쓸데없는 신박한 선물","9,800원",funny,맥주모자,,,에고이즘 협력사,중국,,,,,,,,,,,상품상세설명 참조,010-2552-8957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"""생일선물"" 시크릿쥬쥬 요술봉하트 투명 손잡이 컵 2종 외 신비아파트 어몽어스 펭수 컵 [8종 택1]","6,900원",funny,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,,,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"""집들이, 생일선물"" ""무드등과 스피커를 동시에"" 충전식 무선 우주인 블루투스 스피커 오로라 무드등(리모컨포함)","39,800원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,070-4237-7343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"""쓸모없는 선물"" 아령 물병 텀블러 헬창 헬스 코스튬 생일선물 쓸데없는 신박한 선물","13,800원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,[YES24] 사람이 보인다 관상백과,"3,980원",funny,,,,,,,,,,,,,,105 x 150 x 20mm,,,,,,,,,,,,도서,,사람이 보인다 관상백과,편집부 저,움터미디어,192쪽,2012년 09월 15일,상품상세설명 참조,,,,,,,,,,,,,,,,
25,"""쓸모없는 선물"" 사이버 LED 안경 고글 사이버펑크 인싸템 코스튬 생일선물 쓸데없는 신박한 선물","14,900원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"[감성/집들이선물] ""불멍 풀세트"" 수퍼블릭 실내용 애타는램프SET (램프+에탄올+점화기)","33,900원",funny,TT-15,,,"Xingpuwang Lighting CO.,LTD / 수퍼블릭",중국,,,,,,,,,,,해당없음,텐바이텐 고객행복센터 1644-6035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,집순이들을 위한 입는 거북이 등껍질 쿠션,"26,900원",funny,집순이들을 위한 입는 거북이 등 껍질 쿠션,,,(주)바나나코퍼레이션,중국,,,,,,,,,,,해당없음,1644-7299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"""한 대만 맞자"" 벽돌 베개 쿠션","5,900원",funny,벽돌 베개 쿠션,,,병행수입/220볼트샵,상품상세설명 참조,,,,,,,,,,,해당없음,02-2602-3951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"""꿀잠 선물"" 공룡 바디필로우 애착 인형 쿠션 80cm/ 생일 선물 친구 수면 이사 집들이 센스있는 선물","19,900원",funny,,"그린,옐로우,핑크",,바시움아뜰리에 협력사,중국,,,,,,"본 제품에 이상이 있을 경우, 공정거래위원회 고시에 의거 보상해드립니다.",바시움아뜰리에,,,,,,,,,,,80cm,,겉면: 폴리에스터 100% 충전재: 폴리에스터 100%,바디필로우 80cm 1개,30도 이하의 미지근한 물에서 분리하여 손세탁/표백제염색제 금지/ 기계건조 금지,,,,,,,,,,,,,,,,,,,,,,
30,"""쓸모없는 선물"" 돈 티슈 집들이 자취 취업 용돈 생일선물 쓸데없는 신박한 선물","7,900원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"""쓸데없는선물"" 왹져 머리띠 출시] SNS 대란템, 외계인 선글라스, 지금이라도 지구를 떠날 수 있도록","6,900원",funny,외계인선글라스(파티용품),,,대원인더스,중국,,,,,,,,,,,해당없음,02-6264-0393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,'5초간 후~ 부세요' 모두의 안전을 위한 음주 측정기,"19,900원",funny,모두의 안전을 위한 음주측정기,,,㈜바나나코퍼레이션,중국,,,,,,,,,,,해당없음,070-7649-1717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"""한 대 치고 싶을땐"" 스트레스 해소 미니 흡착 펀치볼","13,900원",funny,스트레스 해소 미니 흡착 펀치볼,,,㈜바나나코퍼레이션,중국,,,,,,,,,,,해당없음,070-7649-1717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,이거 신발인데요 대왕 발 슬리퍼,"8,900원",funny,이거 신발인데요 대왕 발 슬리퍼,,,㈜바나나코퍼레이션,중국,,,,,,,,,,,해당없음,070-7649-1717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"""쓸모없는 선물"" 코코넛 브라 코스튬 분장 생일선물 쓸데없는 신박한 선물","7,900원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"""쓸모없는 선물"" 군침이 싹도는 삼겹살 양말 캐릭터 고기 양말 쓸데없는선물","4,900원",funny,삼겹살양말,,,젊은이마켓,중국,,,,,,,,,,,해당없음,젊은이마켓/032-672-6046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"""쓸모없는 선물"" 슬픈 개구리 세트 안대+세안밴드 생일선물 쓸데없는 신박한 선물","10,800원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"""쓸모없는 선물"" 슬픈 개구리 휴지 케이스 생일선물 쓸데없는 신박한 선물","14,800원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,[교보문고]눈치 없는 돌쇠,"13,500원",funny,,,,,,,,,,,,,,137 * 210 * 20 mm /382g,,,,,,,,,,,,단품,,눈치 없는 돌쇠,매직망나니XXL 지음,위즈덤하우스,256쪽,2020년 09월 10일 출간,.,,,,,,,,,,,,,,,,
40,"""생일 선물 수저세트"" 쥬쥬 수저세트 [루미-SJ2733] (쥬쥬-J0889)","8,600원",funny,쥬쥬-J0889,,"ABS,스테인레스스틸",(주)피앤디,상품상세설명 참조,,2016 07,,,,관련법 및 소비자분쟁해결기준에 따름,오키즈 / 1800-7232,스푼 젓가락,"수저-17, 포크-18 (cm) 중량 70(g)",해당없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
