,name,price,type,제품명,"수입품의 경우 생산자, 수입자 및 제조국",식품의 유형,제조업소의 명칭과 소재지,"제조연월일(포장일 또는 생산연도), 유통기한 ","포장단위별 내용물의 용량(중량), 수량",원재료명 및 함량,영양성분,유전자 변형 식품의 경우 표시,소비자 안전을 위한 주의사항,수입식품인 경우 “수입식품안전관리특별법에 따른 수입신고를 필함”의 문구,소비자 상담 관련 전화번호,품명 및 모델명,의료기기법상 허가 신고 번호 및 광고사전심의필 유무,정격전압/소비전력,출시년월,제조사,제조국,제품의 사용목적 및 사용방법,취급시 주의사항,품질보증기준,A/S 책임자,품목 또는 명칭,"포장단위별 내용물의 용량(중량), 수량, 크기",생산자,농수산물의 원산지 표시에 관한 법률에 따른 원산지,"제조연월일(포장일 또는 생산연도), 유통기한",관련법상 표시사항,상품구성,보관방법 또는 취급방법,기능정보,"섭취량, 섭취방법, 섭취시 주의사항 및 부작용 발생 가능성",영양정보,질병의 예방 및 치료를 위한 의약품이 아니라는 내용의 표현,KC 인증 필 유무,에너지소비효율등급,크기,발행자,유효기간,교환권 공급자,이용조건,이용 가능 매장,환불조건 및 방법,소비자상담 관련 전화번호,"크기,무게",주요 사양,"법에 의한 인증, 허가 등을 받았음을 확인할 수 있는 경우 그에 대한 사항",A/S 책임자와 전화번호 또는 소비자상담 관련 전화번호,용량 또는 중량,제품 주요 사양,사용기한 또는 개봉 후 사용기간,사용방법,화장품제조업자 및 화장품책임판매업자,화장품법에 따라 기재·표시하여야 하는 모든 성분,기능성 화장품의 경우 화장품법에 따른 식품의약품안전처 심사필 유무,사용할 때 주의사항,소비자상담관련 전화번호,제품 소재,색상,치수,품목 및 제품명,용도 및 제형,제조연월 및 유통기한,"중량, 용량, 매수","효과,효능",제조국 및 제조사,어린이 보호포장 대상 제품 유무,제품에 사용된 화학물질 명칭,사용상 주의사항,신고번호 또는 승인번호,품명,구성품,주요 소재,배송 설치 비용,제품구성,세탁방법/취급시 주의사항,서비스 제공 사업자,"취소, 중도해약, 해지 조건 및 환불기준","취소, 환불방법",재질,수입식품안전관리특별법에 따른 수입신고,종류,소재,이동통신 가입조건,도서명,저자,출판사,쪽수,출간일,목차 또는 책소개
0,레모나프렌즈 카카오 레모나산 하트캔 (2g x 70포)/KF94 마스크&쇼핑백 증정,"16,900원",health,카카오 레모나산 70포,해당사항 없음,의약외품,경남제약㈜/ 충남 아산시 신창면 서부남로790번길 49,상시제조제품/ 제조일로부터 24개월/정확한 유통기한은 고객센터로 문의 부탁드립니다.,2g x 70포,상품상세설명 참조,상품상세설명 참조,해당사항 없음,"제품 개봉 시 포장재에 의해 상처를 입을 수 있으니 주의바랍니다. 알레르기 체질이신 분은 성분을 확인 후 섭취하여 주십시오. 어린이 섭취 시 보호자의 지도, 감독하에 섭취시키십시오.",해당사항 없음,080-232-8600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,[선물포장]미주Pick 발란스핏 기프트세트 - 의료용 압박스타킹 (톡별),"29,800원",health,,,,,,,,,,,,,상품상세설명 참조,의료기기품목 허가번호 제신22-251호 / 광고심의 유(2022-24-005),해당없음,해당없음,주식회사 위시아,발란스핏:한국/요가링:중국 (혼합/기타),발란스핏: 신체의 일부분을 탄력으로 압박하거나 잡아주는 의료기기,상품상세설명 참조,관련법 및 소비자 분쟁 해결기준에 따름,95PROBLEM 02-6952-3378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"""🎁마음의 선물🎁"" 힘내라 홍삼정 For You 10ml x 30포 +리뷰이벤트 (리뉴얼ver)","15,900원",health,상품상세설명 참조,해당사항없음,홍삼음료,상세페이지참조,수시로입고됩니다. 070-8972-5322문의주시길 바랍니다./ 유통기한 : 제조일로부터 2년,"10ml, 10ml X 30포",상품상세설명 참조,상품상세설명 참조,해당사항없음,상품상세설명 참조,해당사항없음,070-8972-5322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"""하루 한포 건강"" 배를 품은 도라지스틱 30포x12g 국산 도라지,배 함유! 도라지배즙","18,900원",health,배를 품은 도라지스틱 진,해당사항없음,과채음료,일화,상시제조(패키지 후면 참고) / 제조일로부터 24개월,"12g X 30포, 1박스",상세페이지 참조,"정제수, 배농축액19%, 도라지농축액15%, 프락토올리고당, 모과농축액, 영지추출농축액, 생강농축액",해당사항 없음,"원료 성분으로 간혹 침전물이 생길 수 있으나 변질에 의한것이 아니오니 안심하고 잘 흔들어 섭취하십시오. 임신,수유부나 알레르기 및 특이 체질이신 분은 섭취 전에 원료명을 반드시 확인하시기 바랍니다. 개봉 후에는 변질될 수 있으니 바로 섭취하십시오. 제품을 직접 전자레인지에 데우지 마십시오.",해당사항 없음,02)6228-2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"푸드장 프리미엄 구이 선물세트 1.15kg(부채살,살치살,토시살,척아이롤)","49,900원",health,,,,,,,,,,"1)받는 즉시 냉장보관, 제품 수령 후 2~3일내 섭취 권장 2)충분히 가열 후 섭취 3)흡수지는 섭취 금지 *본제품은 알레르기 유발성분(돼지고기, 소고기 등)을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.",,1899-4797,,,,,,,,,,,"푸드장 프리미엄 구이 선물세트 1.15kg(부채살,살치살,토시살,척아이롤)",1.15kg / 1 / 신선식품특성상 크기를 제공하지않습니다,(주)푸드장: 경기도 고양시 일산동구 감내길 22 / (주)이설푸드: 경기도 광주시 곤지암읍 독고개길 132-25(1층) / 농업회사법인영원한주식회사: 충남 천안시 동남구 용곡6길 26-11,미국산,상시제조 / 유통기한: 제조일로부터 14일 이내,식품위생법에 따른 수입신고를 필함 / 축산법에 따른 등급표기 해당사항없음 / 이력관리에 따른 표시유무 제품에 별도표기,상품상세설명 참조,냉장보관(-2~10ºC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"농협안심한우 ""고마워서 어찌하누""1등급 일품구이채반 1kg(등심+채끝+안심)","109,000원",health,,,,,,,,,,수령 후 보관방법에 맞게 보관해주세요.,,02-949-1693,,,,,,,,,,,한우,"등심500g + 채끝300g + 안심200g x 1, 크기는 상품별 차이가 있어 정보제공이 어렵습니다.",동심푸드,국내산,"제조일: 주문일 기준 3일 이내 생산 , 유통기한: 제조일로부터 10일",축산법에 따른 등급표기 1등급 / 이력관리에 따른 표시유무 제품에 별도표기,등심500g + 채끝300g + 안심200g,냉장보관,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"""면역력 증진"" 정원삼 6년근 고려홍삼정 365스틱 30포 + 3포 증정","27,800원",health,상품상세설명 참조,,홍삼제품/건강기능식품,대동고려삼(주)/충남 금산군 군북면 군북로 586,,"10g, 30포","6년근홍삼농축액(진세노사이드Rg1,Rb1,Rg3의합 11mg/g, 고형분 60%이상,국산)8%,저당,식물추출액[영지(국산),황정(국산),두충(국산),백작약,백복령,진피,하수오,지황,갈근,복분자,구기자,당귀,계지],액상과당,자몽종자추출물*원료삼 배합비율:6년근 홍삼(홍삼근70%,홍미삼30%)",,해당없음,상품상세설명 참조,해당없음,070-8285-5210,,,,,,,,,,,,,,,"상세페이지 참조, 제조일로부터 2년",,,,"면역력 증진,피로개선,혈소판 응집억제를 통한 혈액흐름,기억력 개선,항산화에 도움을 줄 수 있음",상세페이지 참조,상세페이지 참조,본 제품은 질병의 예방 및 치료를 위한 의약품이 아닙니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,휴심 스포츠 쉘 손 마사지기 안마기 (톡별),"69,000원",health,,,,,,,,,,,,,HS-5505W,,"AC100-240V, 50/60Hz, 0.25A, DC5V, 1.5A / 7.5W",2021.08,"HUSIM CO., Ltd",중국 - 수입자 (미래바이텍),,,구매후 1년 무료 AS가능(고객님의 사유 AS는 고객님 부담입니다.),황서준,,,,,,,,,,,,,"유, SU10602-16001",해당사항 없음,"250*150*108mm,700g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"""에너지 선물"" 정관장 활기력 에너지박스(20ml*20병) 특별한 선물","39,900원",health,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,제조일 : 2022-06-01 / 유통기한 : 2024-06-01,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,해당사항 없음,상품상세설명 참조,해당없음,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"[박은빈 포토카드] ""면역력을 1포하라"" 홍삼정에브리타임 밸런스(30일분)","72,900원",health,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,,해당없음,상품상세설명 참조,해당없음,상품상세설명 참조,,,,,,,,,,,,,,,"제조일자: 2021-08-01 , 유통기간: 2023-03-01",,,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
