,name,price,type,종류,소재,치수,제조사,제조국,취급시 주의사항,품질보증기준,A/S 책임자,색상,크기,제품 소재,세탁방법/취급시 주의사항,제조연월,비비안웨스트우드 / 지인터내셔날㈜,이탈리아,"수분, 직사광선, 이염, 변색, 화기 등 주의(고객센터문의)",관련 법 및 소비자 분쟁해결 규정에 따름,관련법 및 소비자 분쟁 해결기준에 따름
0,버버리 40601151 체크 울 목도리 머플러,"329,000원",luxury,머플러,울,SIZE - 168cmx30cm,버버리/(주)트랜드메카-병행수입,브랜드국-영국(UNITED KINGDOM)(원산지:스코틀랜드),"화장품,향수,마찰등으로 변색,탈색,이염등 상품이 손상 될수 있으니 주의하세요. / 충격과 비틀림에 의한 파손에 주의하세요. / 피부가 민감하여 알러지 반응이 있을시 착용을 중지하세요. / 천연가죽 특성상 작은상처나 가죽결 및 약간의 색조차이가 발생할 수 있으므로, 이점은 결함으로 볼 수 없습니다. / 취급시 수분(물, 땀, 향수 등), 기름, 습기(여름철 습도 등), 온도와 직사광선을 피하여 보관, 사용하시기 바랍니다.",구입일로부터 1년. 관련법 및 소비자 분쟁해결 기준에 따름,(주)트랜드메카 고객센터/1599-3735,,,,,,,,,,
1,생로랑 모노그램 그레인 카드지갑 423291-BOW01-1000,"425,000원",luxury,카드지갑,CALF(소가죽),,SAINT LAURENT/병행수입(라프리마),상품상세설명 참조,모든 소재의 제품은 마찰시 이염이 될수 있습니다. 미사용시 평상온도의 습하지 않은 실내에서 더스트백에 보관하시기를 권장합니다. 세탁 및 염색을 필요로 할시에는 꼭 명품수선 전문점 과 상의하셔야 합니다.,관련법 및 소비자 분쟁해결기준에 따름,"라프리마/ 상담 1833-9346, 수선문의 1833-9347",NERO(블랙),가로 10.5cm x 세로 7.5cm,,,,,,,,
2,[GG 마몽] 카드 케이스 지갑,"610,000원",luxury,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,
3,GG 비(Bee) 모양 실크 넥 보우,"260,000원",luxury,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,
4,AMI BFUSW001 730 001 아미 드 꾀흐 하트 로고 라운드넥 공용 맨투맨,"299,000원",luxury,,,상세페이지참조,AMI/(주)트랜드메카-병행수입,브랜드국-프랑스(FRANCE)(원산지:포르투갈),,상세페이지참조,(주)트랜드메카 고객센터/1599-3735,블랙,,코튼,상세페이지참조,상세페이지참조,,,,,
5,[공식] 비비안웨스트우드 엠브로이더드 램스울 머플러 7종 택1 (+기프트포장),"280,000원",luxury,머플러,100% Virgin Wool,폭 30 x 총장 180 (cm),비비안웨스트우드 / 지인터내셔날(주),이탈리아,"수분, 직사광선, 이염, 변색, 화기 등 주의(고객센터 문의)",관련 법 소비자 분쟁 해결 규정에 따름,비비안웨스트우드 / 지인터내셔날(주),,,,,,,,,,
6,발렌티노 VRHOMBUS 울 캐시미어 스카프 1W2ER027-MWS-0NA,"379,000원",luxury,스카프,WOOL+CASHMERE(울95%+캐시미어5%),가로 180cm x 폭 35cm,VALENTINO /병행수입(라프리마),ITALY,모든 소재의 제품은 마찰시 이염이 될수 있습니다. 미사용시 평상온도의 습하지 않은 실내에서 더스트백에 보관하시기를 권장합니다. 세탁 및 염색을 필요로 할시에는 꼭 명품수선 전문점 과 상의하셔야 합니다.,관련법 및 소비자 분쟁해결기준에 따름,"라프리마 / 상담 1833-9346, 수선문의 1833-9347",,,,,,,,,,
7,버버리 스트라이프 포이베 버킷백 8026737 라프리마,"575,000원",luxury,버킷백,POLYAMIDE(폴리아미드),,BURBERRY /병행수입(라프리마),MOLDOVA,"본 상품은 습기와 열에 약하여 노출 시 상품손상이 우려되오니 유의하시기 바랍니다. 오염이나 변색이 있을 경우 명품수선 전문점이나 가죽수선 전문점에 의뢰하시기 바랍니다. 본 상품은 가죽 소재를 가공한 제품으로 미세한 얼룩, 주름, 스크래치가 나타낼 수 있으며, 이는 상품하자가 아닌 상품 특성임을 알려드립니다. 모니터 해상도나 촬영된 빛의 각도에 따라 색상이 다르게 보일 수 있습니다.",관련법 및 소비자 분쟁해결기준에 따름,"라프리마/ 상담 1833-9346, 수선문의 1833-9347",ARCHIVE BEIGE(아카이브 베이지),가로 18cm x 세로 19.5cm x 폭 12.5cm,,,,,,,,
8,[GG 마몽] 카드 케이스,"480,000원",luxury,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,
9,[오피디아] 카드 케이스 지갑,"420,000원",luxury,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,
