,name,price,type,품명 및 모델명,"법에 의한 인증, 허가 등을 받았음을 확인할 수 있는 경우 그에 대한 사항",제조사,제조국,A/S 책임자와 전화번호 또는 소비자상담 관련 전화번호,종류,소재,치수,취급시 주의사항,품질보증기준,A/S 책임자,제품 소재,색상,제품구성,세탁방법/취급시 주의사항,제품명,"수입품의 경우 생산자, 수입자 및 제조국",식품의 유형,제조업소의 명칭과 소재지,"제조연월일(포장일 또는 생산연도), 유통기한 ","포장단위별 내용물의 용량(중량), 수량",원재료명 및 함량,영양성분,유전자 변형 식품의 경우 표시,소비자 안전을 위한 주의사항,수입식품인 경우 “수입식품안전관리특별법에 따른 수입신고를 필함”의 문구,소비자 상담 관련 전화번호,발행자,유효기간,교환권 공급자,이용조건,이용 가능 매장,환불조건 및 방법,소비자상담 관련 전화번호,품목 또는 명칭,"포장단위별 내용물의 용량(중량), 수량, 크기",생산자,농수산물의 원산지 표시에 관한 법률에 따른 원산지,"제조연월일(포장일 또는 생산연도), 유통기한",관련법상 표시사항,상품구성,보관방법 또는 취급방법,크기,제조연월,품목 및 제품명,용도 및 제형,제조연월 및 유통기한,"중량, 용량, 매수","효과,효능",제조국 및 제조사,어린이 보호포장 대상 제품 유무,제품에 사용된 화학물질 명칭,사용상 주의사항,신고번호 또는 승인번호,재질,사용연령 또는 체중범위,출시년월,"취급방법 및 취급시 주의사항, 안전표시 (주의, 경고 등)","크기, 중량",KC 인증 필 유무,정격전압/소비전력,"크기,무게",주요 사양,에너지소비효율등급,냉난방면적,추가설치비용,구성품,수입식품안전관리특별법에 따른 수입신고
0,리틀퍼피클럽 핫팩&파우치 세트_라이언/어피치,"29,000원",touched,리틀퍼피클럽 핫팩&amp;파우치 세트_라이언 8809814928638 / 리틀퍼피클럽 핫팩&amp;파우치 세트_어피치 8809814928645,해당사항 없음,굿앤디자인,중국,카카오프렌즈 고객센터 1577-6263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,리틀퍼피클럽 양털부츠_라이언/어피치,"25,000원",touched,,,굿앤디자인,중국,,수면양말,폴리에스터 100%,약 13*35cm,"1. 용도 이외에는 사용하지 마세요. 2. 원단의 특성상 털 빠짐이 있을 수 있으며, 마찰 시 보풀이 발생할 수 있으니 사용 시 주의하시기 바랍니다. 3. 본 제품을 물이나 땀에 젖은 상태로 오래 방치해 두지 마시기 바랍니다. 4. 사용 시 오염 부위는 젖은 수건으로 닦아서 그늘에 말린 후 보관해주세요. 5. 40도 이상 고온 건조 시 형태 변형이나 수축이 발생할 수 있으니 주의하십시오. 6. 화기나 고온,  직사광선에 주의하시고, 날카로운 물건에 가까이하지 마세요. 7. 세탁 시 30도 이하 미지근한 온도에서 세탁망에 넣어 울 코스로 단독 세탁하십시오.",본 제품은 공정거래위원회 고시 소비자 분쟁해결기준에 의거 교환 및 보상을 받으실 수 있습니다.,카카오프렌즈 고객센터 1577-6263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,꿀잠친구_고슴도치 리틀라이언,"42,000원",touched,,,토이스토리,중국,,,,320*310*560mm,,본 제품은 공정거래위원회 고시 소비자 분쟁해결기준에 의거 교환 및 보상을 받으실 수 있습니다.,카카오프렌즈 고객센터 1577-6263,"[표면] 폴리에스터 96%, 폴리우레탄 4% [충전재] 폴리에스터 100%",혼합,바디필로우 1개,1. 포장은 반드시 부모님(보호자)께서 개봉해 주시고 분리수거해 주십시오. 2. 제품 용도 이외에는 사용하지 마십시오. 3. 입에 넣고 물거나 빨지 않도록 주의하십시오. 4. 불에 직접 닿거나 가까이하지 마십시오. 5. 세탁기 사용을 금하고 손으로 세탁하여 주십시오. 6. 물에 젖을 경우 그늘에서 말려 주십시오.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"""고흥 유자를 선물합니다"" 자임 꿀유자차 580g x 2병","13,900원",touched,,,,,,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,액상차,(주)자임에프앤비 / 경기도 광주시 초월읍 현산로  341-21,상품상세설명 참조,580g x 2병,상품상세설명 참조,상품상세설명 참조,해당사항 없음,상품상세설명 참조,해당사항 없음,031-8027-2088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,오설록 오~땡큐 티박스 6종 선물세트(총30입),"22,000원",touched,,,,,,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,상세고시정보참조,상세고시정보참조,제품에 표기된 날짜까지/유통기한은 상품 별 상이하므로 각 상품상세고시정보 참고부탁드립니다./주문일로부터 유통기한 50%이상 남은 제품을 보내드립니다.,"상세고시정보참조, 상세고시정보참조",상세고시정보참조,해당사항없음,해당사항없음,상품상세설명 참조,해당사항없음,카카오톡 1:1 문의 또는 오설록 고객센터 전화: 080-805-5555/이메일 상담: help@osulloc.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,리틀퍼피클럽 싱글이불담요,"49,000원",touched,,,알애스코,중국,,,,150*200cm,,본 제품은 공정거래위원회 고시 소비자 분쟁해결기준에 의거 교환 및 보상을 받으실 수 있습니다.,카카오프렌즈 고객센터 1577-6263,폴리에스터 100%,혼합,싱글 이불담요,1. 제품 용도 이외에는 사용하지 마십시오. 2. 입에 넣고 물거나 빨지 않도록 주의해 주십시오. 3. 불에 직접 닿거나 가까이 하지 마십시오. 4. 미지근한 물에 손 세탁 하십시오. 5. 물에 젖을 경우 그늘에서 말려 주십시오. 6. 비틀면 변형될 수 있으니 평평한 상태로 뉘어서 건조하십시오. 7. 염소표백제를 사용하지 마십시오. 8. 회전식 건조기 사용은 금하여 주십시오. 9. 드라이 클리닝은 금하여 주십시오,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,[당일배송] [BEST] TANDY 탠디 베러캐시 캐시미어 머플러 5컬러 택1 (+선물포장),"24,000원",touched,,,탠디/(주)창조패션,중국,,"머플러,스카프",캐시미어10% 모90%,35x185cm,반드시 드라이크리닝하세요,관련법 및 소비자분쟁해결기준에 따름,창조패션/02-536-8414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"""열렬히 응원할게요"" 떠먹는 스트로베리 초콜릿 생크림 + 떠먹는 아이스박스 + 아메리카노 (R) 2잔","22,200원",touched,,,,,,,,,,,,,,,,,,,,,,,,,,,,(주)카카오,2022년 5월 31일 이전 발급 : 발급일 포함 94일 / 2022년 6월 1일 이후 발급 : 발급일 포함 367일 ※ 주문일 확인 방법 : 선물함 &gt; 사용정보,주식회사 즐거운,상품상세 설명 참조,상품상세설명참조,"구매자취소(청약철회) 가능 기간까지는 구매자가 취소를 요청할수 있으며 실제 결제 금액의 100%가 구매자에게 결제 취소/ 환불 됩니다. 이후에는 수신자가 환불을 요청할수 있으며 실제 결제 금액의 90%가 수신자에게 환불 됩니다.(구매자와 수신자가 동일하다면 원결제 수단으로 결제 취소/ 환불) 선물취소, 환불은 선물함에서 직접 할수 있습니다.",1544-2431 (통화료 발생 / 평일 9시 ~ 19시),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"""잘 될거에요"" 떠먹는 티라미수 + 아메리카노 (R) 2잔","15,500원",touched,,,,,,,,,,,,,,,,,,,,,,,,,,,,(주)카카오,2022년 5월 31일 이전 발급 : 발급일 포함 94일 / 2022년 6월 1일 이후 발급 : 발급일 포함 367일 ※ 주문일 확인 방법 : 선물함 &gt; 사용정보,주식회사 즐거운,상품상세 설명 참조,상품상세설명참조,"구매자취소(청약철회) 가능 기간까지는 구매자가 취소를 요청할수 있으며 실제 결제 금액의 100%가 구매자에게 결제 취소/ 환불 됩니다. 이후에는 수신자가 환불을 요청할수 있으며 실제 결제 금액의 90%가 수신자에게 환불 됩니다.(구매자와 수신자가 동일하다면 원결제 수단으로 결제 취소/ 환불) 선물취소, 환불은 선물함에서 직접 할수 있습니다.",1544-2431 (통화료 발생 / 평일 9시 ~ 19시),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,떠먹는 스트로베리 초콜릿 생크림 + 떠먹는 아이스박스 + 아메리카노 (R) 3잔,"26,700원",touched,,,,,,,,,,,,,,,,,,,,,,,,,,,,(주)카카오,2022년 5월 31일 이전 발급 : 발급일 포함 94일 / 2022년 6월 1일 이후 발급 : 발급일 포함 367일 ※ 주문일 확인 방법 : 선물함 &gt; 사용정보,주식회사 즐거운,상품상세 설명 참조,상품상세설명참조,"구매자취소(청약철회) 가능 기간까지는 구매자가 취소를 요청할수 있으며 실제 결제 금액의 100%가 구매자에게 결제 취소/ 환불 됩니다. 이후에는 수신자가 환불을 요청할수 있으며 실제 결제 금액의 90%가 수신자에게 환불 됩니다.(구매자와 수신자가 동일하다면 원결제 수단으로 결제 취소/ 환불) 선물취소, 환불은 선물함에서 직접 할수 있습니다.",1544-2431 (통화료 발생 / 평일 9시 ~ 19시),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
