,name,price,type
0,냥냥 라이언 인형,"29,000원",funny
1,"""딱! 한잔만 해요"" 알럽하우스 대형소주잔 한방울잔 2P (+오광엽서1장)","9,800원",funny
2,꼬리가 움직이는 춘식이 필로우,"29,000원",funny
3,대충 만든 춘식인데요 롱팔인형,"20,000원",funny
4,"""쓸모없는 선물"" 움직이는 멕시코 선인장 (+녹음기능, 노래) 춤추는 인형 생일선물 쓸데없는 신박한 선물","19,800원",funny
5,"""쓸모없는 선물"" 별의 컵이 비니 생일선물 쓸데없는 신박한 선물","8,900원",funny
6,"""NEW 소주메이트"" 수고한 당신을 위한 혼술, 로이체 자동 소주 디스펜서+소주잔 (톡별)","25,900원",funny
7,[1+1/총2개세트] 방콕 집순이 후드 담요 (집순이담요),"29,900원",funny
8,"""스트레스 풀리는"" 짱구 라인쿠션 유리토끼","22,500원",funny
9,오늘 밤 '핫하게' 코끼리 이벤트 남성 티팬티 속옷 기념일 쓸모없는 선물,"6,900원",funny
10,"""응원/힐링"" 반려 돌 키우기 애완 힐링템 스트레스OUT 감성 생일선물 쓸데없는 신박한 선물","12,800원",funny
11,"""진로 한 잠 어때?"" 진로 소주병 빅 바디필로우 100cm 쿠션 (톡별)","39,900원",funny
12,"""SNS 인싸템"" 따라쟁이 춤추는 선인장(녹음기능,노래) 생일 인형 집들이 특이한 인테리어 소품","15,800원",funny
13,"""쓸모없는 선물"" 사이파이 안경 유니크 스타일 마이콜 선글라스 코스튬 생일선물 쓸데없는 신박한 선물","7,800원",funny
14,"""쓸모없는 선물"" 엘리자베스 오리 잠옷 홈파티 방콕 코스튬 집순이 생일선물 쓸데없는 선물","38,900원",funny
15,"""쓸모없는 선물"" 근육 빵빵 몸짱 티셔츠 코스튬 생일선물 쓸데없는 신박한 선물","16,900원",funny
16,"""소맥치노"" 집에서 말아먹는 크림 소맥 제조기(소주+맥주)+전용 맥주잔 2개(톡별)","29,900원",funny
17,"""쓸모없는 선물"" 트롤 라이터 케이스 생일선물 쓸데없는 신박한 선물","8,900원",funny
18,"""귀여운 선물 "" 식빵 오리 인형 키링 갸우뚱 열쇠고리 자동차 키 인싸템 생일선물 쓸데없는 신박한 선물","9,800원",funny
19,버블 윙스틱 비누방울 블링블링 요술봉 공주님들의 비눗방울 놀이,"8,900원",funny
20,"""쓸모없는 선물"" 맥주모자 비어캡 드링킹헬멧 생일선물 쓸데없는 신박한 선물","9,800원",funny
21,"""생일선물"" 시크릿쥬쥬 요술봉하트 투명 손잡이 컵 2종 외 신비아파트 어몽어스 펭수 컵 [8종 택1]","6,900원",funny
22,"""집들이, 생일선물"" ""무드등과 스피커를 동시에"" 충전식 무선 우주인 블루투스 스피커 오로라 무드등(리모컨포함)","39,800원",funny
23,"""쓸모없는 선물"" 아령 물병 텀블러 헬창 헬스 코스튬 생일선물 쓸데없는 신박한 선물","13,800원",funny
24,[YES24] 사람이 보인다 관상백과,"3,980원",funny
25,"""쓸모없는 선물"" 사이버 LED 안경 고글 사이버펑크 인싸템 코스튬 생일선물 쓸데없는 신박한 선물","14,900원",funny
26,"[감성/집들이선물] ""불멍 풀세트"" 수퍼블릭 실내용 애타는램프SET (램프+에탄올+점화기)","33,900원",funny
27,집순이들을 위한 입는 거북이 등껍질 쿠션,"26,900원",funny
28,"""한 대만 맞자"" 벽돌 베개 쿠션","5,900원",funny
29,"""꿀잠 선물"" 공룡 바디필로우 애착 인형 쿠션 80cm/ 생일 선물 친구 수면 이사 집들이 센스있는 선물","19,900원",funny
30,"""쓸모없는 선물"" 돈 티슈 집들이 자취 취업 용돈 생일선물 쓸데없는 신박한 선물","7,900원",funny
31,"""쓸데없는선물"" 왹져 머리띠 출시] SNS 대란템, 외계인 선글라스, 지금이라도 지구를 떠날 수 있도록","6,900원",funny
32,'5초간 후~ 부세요' 모두의 안전을 위한 음주 측정기,"19,900원",funny
33,"""한 대 치고 싶을땐"" 스트레스 해소 미니 흡착 펀치볼","13,900원",funny
34,이거 신발인데요 대왕 발 슬리퍼,"8,900원",funny
35,"""쓸모없는 선물"" 코코넛 브라 코스튬 분장 생일선물 쓸데없는 신박한 선물","7,900원",funny
36,"""쓸모없는 선물"" 군침이 싹도는 삼겹살 양말 캐릭터 고기 양말 쓸데없는선물","4,900원",funny
37,"""쓸모없는 선물"" 슬픈 개구리 세트 안대+세안밴드 생일선물 쓸데없는 신박한 선물","10,800원",funny
38,"""쓸모없는 선물"" 슬픈 개구리 휴지 케이스 생일선물 쓸데없는 신박한 선물","14,800원",funny
