,name,price,type
0,레모나프렌즈 카카오 레모나산 하트캔 (2g x 70포)/KF94 마스크&쇼핑백 증정,"16,900원",health
1,[선물포장]미주Pick 발란스핏 기프트세트 - 의료용 압박스타킹 (톡별),"29,800원",health
2,"""🎁마음의 선물🎁"" 힘내라 홍삼정 For You 10ml x 30포 +리뷰이벤트 (리뉴얼ver)","15,900원",health
3,"""하루 한포 건강"" 배를 품은 도라지스틱 30포x12g 국산 도라지,배 함유! 도라지배즙","18,900원",health
4,"푸드장 프리미엄 구이 선물세트 1.15kg(부채살,살치살,토시살,척아이롤)","49,900원",health
5,"농협안심한우 ""고마워서 어찌하누""1등급 일품구이채반 1kg(등심+채끝+안심)","109,000원",health
6,"""면역력 증진"" 정원삼 6년근 고려홍삼정 365스틱 30포 + 3포 증정","27,800원",health
7,휴심 스포츠 쉘 손 마사지기 안마기 (톡별),"69,000원",health
8,"""에너지 선물"" 정관장 활기력 에너지박스(20ml*20병) 특별한 선물","39,900원",health
9,"[박은빈 포토카드] ""면역력을 1포하라"" 홍삼정에브리타임 밸런스(30일분)","72,900원",health
10,"""에너지 선물"" 정관장 활기력 20ml x 10병","29,000원",health
11,하귀농협 고당도 황금향 과일선물세트 2.5kg (8~12수),"22,900원",health
12,"[추천선물] ""활력과 기력이 필요한 당신"" 6년근 홍삼 활기담 앰플 30병 + 쇼핑백","50,000원",health
13,[경복궁] 한우사골 실속세트 (한우사골고기곰탕+사골고기도가니탕+한우사골곰탕),"25,000원",health
14,"""면역력을 1포하라"" 정관장 홍삼정에브리타임(30일분)","102,000원",health
15,"아프다고 굶지마요, 본죽 14종+장조림 set (총 7팩/10팩)","19,900원",health
16,"22년 첫 출하 달콤한"" 제주 고당도 노지감귤 2.5kg (로얄과/11Brix이상)","12,900원",health
17,"탐라왕 ""제주그대로"" 황금향 선물세트 2.5kg(8-12과/12brix이상)","22,900원",health
18,[고급선물가방/완도산지출하] 완도전복 1kg 10~12미 특상 사이즈(완도유진수산),"47,800원",health
19,순천참한우 1등급 1.2kg (등심600g+안심300g+채끝300g),"119,000원",health
20,"""에너지 선물"" 정관장 활기력 20ml x 16병","41,400원",health
21,프리미엄 샤인머스캣 과일선물세트 1.3KG 이상 (2송이/특품),"32,900원",health
22,"""🎁인기건강선물🎁"" 니몸내몸 영양젤리 3종 구미 선물세트(비타민C,비타민D,루테인)[선물포장]","29,900원",health
23,"""100일의 면역력 ""6년근 홍삼정 에버타임 스탠다드 홍삼 스틱 100포 (원통)","37,800원",health
24,"""명품 이뮨 비타민"" 바니스뉴욕 멀티비타민 데일리 에너지 부스트 7개입","38,000원",health
25,"""면역력이 필요할때"" 정관장 화애락이너제틱 15g x 60포","78,000원",health
26,[미식선물] [경복궁] 한우곰탕 선물세트 (한우사골 고기곰탕+사골고기 도가니탕+한우사골곰탕4팩),"48,600원",health
27,"""원기회복건강보양선물"" 완도전복죽","13,000원",health
28,제주 중문농협 타이벡 감귤 선물세트 3kg (12Brix 이상),"25,800원",health
29,괴산증평축협 한우선물 1++등급 명품 900g 구이세트 (등심/채끝/안심/차돌박이),"149,000원",health
30,[경복궁] 체력 보강 선물세트 (사골고기도가니탕+영양갈비탕+양곰탕),"35,900원",health
31,"[병문안 혼합 선물과일] ""건강을 기원하는 마음"" 프리미엄 1호","50,000원",health
32,우리한우 1등급 구이세트1호 900g (등심/채끝/갈비살 각300g),"99,900원",health
33,"""하루 한포 건강습관"" 도라지배즙 100포 배도라지즙 / 국산 도라지,배 함유!","29,900원",health
34,"""한팩에 멀티 종합비타민+밀크씨슬+오메가3+루테인+코큐텐"" GNM 올인원 멀티팩 30포","45,900원",health
35,[선물상자] 멀티비타민 6종 택1 (맨/우먼/칼슘+D/에너지B),"27,000원",health
36,"""농협안심한우"" 한우[1등급] 소한마리 엄선세트",5%,health
37,"""에너지 선물"" 정관장 활기력 20ml x 30병","82,000원",health
38,"""품격있는 면역관리"" 정관장 홍삼정에브리타임 리미티드(30일분)","133,000원",health
39,국물의한수 온가족 10팩세트(육개장2+갈비탕2+뚝불2+우거지해장국2+황태해장국2),"34,900원",health
40,"""멀티비타민+오메가3"" [선물세트] 솔가 멀티비타민(남여선택) + 솔가 오메가3 700 (30캡슐)","29,900원",health
41,"""올인원 명품비타민"" [액상+정제 19종 비타민] GNM 올인원 이뮨 멀티 종합비타민 14병 X 2박스","55,900원",health
42,"전복에 내 마음 가득 담아, 본죽 전복죽+쇠고기 장조림set","35,000원",health
43,프리미엄 샤인머스캣 과일선물세트 2KG 이상 (3송이/특품),"44,900원",health
44,[VIPS] 빕스 패밀리 선물세트 2호(오리지널폭립 2개+스파이시폭립 1개+볶음밥5종),"49,900원",health
45,"""응원메세지를듬뿍담은"" GNM 국산 배도라지청 스틱 건강배달왔도라지 선물세트 + 쇼핑백증정 / 도라지배즙 도라지청","18,900원",health
46,"""메리크리스마스"" 프리미엄 샤인머스캣&애플망고 선물세트 + 윈터 에디션(1.8kg, 4입)","39,800원",health
47,"""면역력이 필요할때"" 얼라이브 멀티비타민 60정 (2개월분) 6종 택1 / 멀티,맨,우먼,50+,밀크씨슬,칼슘","24,900원",health
48,"12년 연속 브랜드 대상, 불로초 하우스 감귤 1.5kg(12.5Brix/특품)","19,800원",health
49,카카오프렌즈 레모나 선물세트(2g*50포 2개입)/생일/감사/축하/위로 선물,"25,900원",health
50,"[반하누] ""주고싶은"" 한우 1등급 등심500g+업진200g+부채200g","109,000원",health
51,"""건강/회복 선물"" 국산 프로폴리스 함유 천연벌꿀 허니스틱(15스틱) 답례품 -23.5이하","27,800원",health
52,[선물추천]8가지 꽃과일향 차(TEA)선물세트 40입(8종x5입),"25,000원",health
53,"""맛있는 석류젤리🎁"" 석류 더 콜라겐 젤리 3박스 기프트/선물세트","37,900원",health
54,"""하루의 피로가 싹"" [선물추천/후기가 증명하는 만족도] 알로코리아 저주파 목 어깨 마사지기 전기 전신 안마기","39,900원",health
55,"프리미엄 혼합망고 선물세트 (2.2kg내외, 6입)","39,800원",health
56,바다대로 신선한 전복1kg 선물세트 (8~10미/가방포함),"55,800원",health
57,"[파머스기프트] 프리미엄 과일선물세트7종 올리브1호(샤인머스켓,애플망고)3.4kg이상","59,800원",health
58,[경복궁] 정성 한그릇 선물세트 (영양갈비탕 2팩+사골육개장+한우사골곰탕 2팩),"52,000원",health
59,다같이 모여 샤샤샤 소고기구이 4종세트(갈비살/치마살/부채살/살치살 각 200g),"39,800원",health
60,"""1팩에 모두 담은 종합비타민"" 덴프스 트루바이타민(1박스/ 1개월분)","29,800원",health
61,[센트룸] 멀티비타민 미네랄 구미(80구미),"24,000원",health
62,[경복궁] 전통 한 상 세트(한우떡갈비+한우사골고기곰탕+칼집 LA갈비),"52,900원",health
63,"""든든한 보양 한끼"" [워커힐호텔]프리미엄 곰탕 600gx2팩 한우사골","29,500원",health
64,"탐라왕 ""당도선별"" 감귤 선물세트 3kg(로얄과/11brix이상)","19,900원",health
65,정관장 굿베이스 홍삼담은 석류 50ml 30포,"55,000원",health
66,"""맛있는 비타민C"" ""당신의 건강을 밝혀드릴게요"" 비타민C 50포 (톡별)","15,900원",health
67,"[추천선물] ""면역력과 피로개선"" 6년근 홍삼정 에버타임 스탠다드 홍삼 스틱 30포 (원통)","18,900원",health
68,"프리미엄 애플망고 선물세트 (2.1kg내외, 5~7입)","45,900원",health
69,"""명품 이뮨 비타민"" GNC 올리닉 울트라 비타액션 멀티비타민 앤 미네랄 30입 +추가3입 [수험생 응원 선물]","87,800원",health
70,고당도 시나노골드 황금사과 과일선물 2kg (7~10과),"24,900원",health
71,"""NO.1 콜라겐🥇"" '함께하면 좋은 사이' [리뷰이벤트] 아모레퍼시픽 슈퍼콜라겐 에센스 14입+비타민 세트","34,300원",health
72,"""황금빛 면역력"" 6년근 고려홍삼정 프리미엄 홍삼스틱 100포 + 쇼핑백","49,900원",health
73,"[파머스기프트] 프리미엄 과일선물세트11종 로열그린(샤인,멜론)8.4kg이상","99,800원",health
74,"""비타민선물🎁"" 고려은단 비타민C 1000 180정/이지+비타민D 180정(2종 택1)","18,000원",health
75,"""하루한포 면역력강화"" [정관장] 홍삼본정 데일리스틱 10g*30포 (30일분)","75,000원",health
76,[건강선물] 본죽 파우치죽 200g 전복죽 4팩 + [증정] 장조림 70g 1개 (총5팩),"10,900원",health
77,"""올인원 명품 비타민"" 리즈랩 바이알이뮨 19종 멀티비타민&미네랄 30입 / DSM사 원료","69,900원",health
78,"""축하해우"" [대구축산농협] 1등급 한우 실속 구이 선물세트 (등심,채끝 각300g)","67,500원",health
79,"탐라왕 ""당도선별"" 감귤 선물세트 5kg(로얄과/11brix이상)","29,900원",health
80,"""🎁 응원선물 🎁"" 비타500데일리스틱 70포 + 10포 추가 + 선물엽서 + 쇼핑백 증정","14,900원",health
81,"꽃+등심 ""꽃처럼 좋은날 되소서"" 1등급 한우 등심 선물세트(톡별)","49,900원",health
82,"""마음담은 한끼"" ""끼니는 챙겨먹어"" 피코크 1주일 집밥선물세트","26,900원",health
83,"""사계절의 신선함을 담은"" 포시즌 하루견과 60입 선물세트","27,900원",health
84,"""남성용 멀티비타민"" 네이처메이드 종합비타민 포맨 (맨 남자 종합영양제 수능 환절기)[수험생 합격 건강 선물]","29,800원",health
85,[경복궁] 한우곰탕 보양세트 (한우사골고기곰탕2팩+사골고기도가니탕2팩+한우사골곰탕2팩),"60,000원",health
86,"""너무 시원한 건"" [누적판매 47만개] 오엘라 초소형 무선 마사지건 SMG ""구매전원 사은품증정""","32,900원",health
87,"""감사한 마음담아"" 술래양념구이 선물세트 2호 (800g*2팩)","89,900원",health
88,프리미엄 고당도 머스크메론 2수 과일선물세트 (총 4kg/1수 2kg),"27,900원",health
89,"""작은 습관의 힘""한미 6년근 매일먹는 홍삼정스틱 30포+힘내장 유산균(30포)증정","24,900원",health
90,[눈편한세상] [건강선물 추천] 선물 만족도 94% 오아 눈 안마기 무선 공기압 마사지기 M0052,"32,900원",health
91,"항공직송으로 더 신선한, 고당도 프리미엄 애플망고 2.3kg이상(5-6입)","49,800원",health
