,name,price,type
0,버버리 40601151 체크 울 목도리 머플러,"329,000원",luxury
1,생로랑 모노그램 그레인 카드지갑 423291-BOW01-1000,"425,000원",luxury
2,[GG 마몽] 카드 케이스 지갑,"610,000원",luxury
3,GG 비(Bee) 모양 실크 넥 보우,"260,000원",luxury
4,AMI BFUSW001 730 001 아미 드 꾀흐 하트 로고 라운드넥 공용 맨투맨,"299,000원",luxury
5,[공식] 비비안웨스트우드 엠브로이더드 램스울 머플러 7종 택1 (+기프트포장),"280,000원",luxury
6,발렌티노 VRHOMBUS 울 캐시미어 스카프 1W2ER027-MWS-0NA,"379,000원",luxury
7,버버리 스트라이프 포이베 버킷백 8026737 라프리마,"575,000원",luxury
8,[GG 마몽] 카드 케이스,"480,000원",luxury
9,[오피디아] 카드 케이스 지갑,"420,000원",luxury
10,페라가모 67 8648 0444078 (678648 444078)양면 벨트,"399,000원",luxury
11,가죽 카드 홀더,"387,000원",luxury
12,메종키츠네 SPEDU05127 EC 칠랙스 폭스 토트백,"119,000원",luxury
13,GG 패턴 실크 타이,"310,000원",luxury
14,보테가베네타 113539 V001D 인트레치아토 키링 3종 택1,"289,000원",luxury
15,보테가베네타 113539 V001D 6337 인트레치아토 키링,"279,000원",luxury
16,메종키츠네 JW00333KM0001 P199 더블 모노크롬 폭스 해드 패치 여성 맨투맨,"279,000원",luxury
17,Laure Tote Bag,"129,000원",luxury
18,[공식]롱샴 르 플리아쥬 그린 탑핸들백 L1623919001,"200,000원",luxury
19,"""시즌OFF 20%"" [공식]롱샴 르 플리아쥬 그린 숄더백 L2605919P64","160,000원",luxury
20,CP컴퍼니 13CMSS032A 002246G 669 렌즈 와펜 플리스 남성 맨투맨,"179,000원",luxury
21,페라가모 간치니 키링 22-E014-BK 734287,"170,000원",luxury
22,이자벨마랑 CQ0015 22A024A 11BH 타이론 자수 로고 볼캡,"169,000원",luxury
23,핸드 페인티드 백 스카프,"130,000원",luxury
24,[구찌 홀스빗 1955] 카드 케이스 지갑,"700,000원",luxury
25,[오피디아] 스몰 핸드백,"2,350,000원",luxury
26,[구찌 홀스빗 1955] 미니백,"1,530,000원",luxury
27,GG 프린트 홀스빗 실크 넥 보우,"260,000원",luxury
28,몽블랑 사토리얼 5cc 포켓 114603,"270,000원",luxury
29,몽블랑 사토리얼 6cc 지갑 113215,"500,000원",luxury
30,프라다 1ML018 QWA F0002 사피아노 반지갑,"869,000원",luxury
31,[버버리] 클래식 체크 캐시미어 스카프 8016395 라프리마,"520,000원",luxury
32,이자벨마랑 CQ0015 22A024A 30FN 타이론 자수 로고 볼캡,"159,000원",luxury
33,몽블랑 픽스 블랙 볼펜 114797,"340,000원",luxury
34,[GG 마몽] 카드 케이스 지갑,"610,000원",luxury
35,[GG 마몽] 카드 케이스 지갑,"610,000원",luxury
36,버버리 407900 캐시미어 자수 로고 머플러 2종 택1,"590,000원",luxury
37,CP컴퍼니 13CMSS032A 002246G 103 렌즈 와펜 플리스 남성 맨투맨,"179,000원",luxury
38,발렌시아가 로고 카드지갑 594214-1IZIM-1090,"350,000원",luxury
39,GG 자카드 패턴 니트 스카프,"520,000원",luxury
40,메종키츠네 FM00528KT1036 ANIM 맨투맨,"329,000원",luxury
41,Sarah Shoulder A Strap Bag,"939,000원",luxury
42,보테가베네타 522326 V4651 1000 인트레치아토 카드지갑,"299,000원",luxury
43,[버버리] 클래식 체크 캐시미어 스카프 8016399 MU GIANT CHK A1353,"417,000원",luxury
44,[공식] 양면 싱글 오브 머플러 4종 택1,"280,000원",luxury
45,골든구스 남성 미드스타 GMF00122 F002632 10929,"748,000원",luxury
46,마이 마 01,"249,000원",luxury
47,가죽 카드 홀더,"362,000원",luxury
48,[GG 마몽] 카드 케이스 지갑,"700,000원",luxury
49,마이스터스튁 명함 지갑 14108,"350,000원",luxury
50,생로랑 금장 플랩 카드케이스(668290 BOWA1),"692,000원",luxury
51,사피아노 가죽 3단 지갑,"650,000원",luxury
52,[친구 맺고 3%적립] [30%off][토리버치 공식]페리 봄베 더블집 크로스바디,"370,000원",luxury
53,마이스터스튁 플래티넘 라인 미드사이즈 볼펜 114185,"620,000원",luxury
54,체크 GG 울 스카프,"620,000원",luxury
55,톰브라운 MAW302A 00198 001 디보스드 4 바 카드지갑,"299,000원",luxury
56,몽블랑 마이스터스튁 플래티넘 코팅 클래식 볼펜 2866,"590,000원",luxury
57,프라다 1IF051 2BA6 F0442 에나멜 트라이앵글 로고장식 헤어클립,"559,000원",luxury
58,보테가베네타 113539 V001D 7585 인트레치아토 키링,"279,000원",luxury
59,톰브라운 머플러 MKS085A00014 2종 택1,"556,000원",luxury
60,보테가베네타 138625 V4651 1000 반지갑,"539,000원",luxury
61,CP컴퍼니 13CMAC122A 005509A 999 메리노 울 고글 비니,"129,000원",luxury
62,랭 01,"249,000원",luxury
63,[롯데백화점]톰브라운 22FW 남성 삼선 넥타이 블랙 MNL047K Y4003 001,"244,590원",luxury
64,[오피디아] 코리아 익스클루시브 GG 카드 케이스,"420,000원",luxury
65,프라다 사피아노 가죽 키체인 1TL126-2EWR-F068Z 라프리마,"420,000원",luxury
66,이자벨마랑 CQ0015 22A026A 67DG TYRON 타이론 볼캡,"139,000원",luxury
67,[공식]롱샴 르 플리아쥬 오리지널 백팩 L1699089001,"200,000원",luxury
68,톰브라운 MAW023A 00198 025 페블 그레인 삼선 스트라이프 반지갑,"389,000원",luxury
69,가죽 카드 홀더,"370,000원",luxury
70,CP컴퍼니 13CMSS032A 002246G M93 렌즈 와펜 플리스 남성 맨투맨,"179,000원",luxury
71,마이스터스튁 카드 수납 기능이 있는 명함 지갑 7167,"350,000원",luxury
72,[친구 맺고 3%적립] [30%off][토리버치 공식]로빈슨 미니 코스메틱 케이스,"112,000원",luxury
73,알렉산더맥퀸 그래피티 카드홀더 602144-1NT7B-1070,"160,000원",luxury
74,버버리 8057943 A7026 빈티지 체크 레더 머니클립 카드지갑,"309,000원",luxury
75,캐시미어 혼방 옴브레 스카프,"300,000원",luxury
76,생로랑 518323 0SX0E 1000 모노그램 키링,"299,000원",luxury
77,보테가베네타 162150 V001N 인트레치아토 나파 카드지갑 4종 택1,"289,000원",luxury
