,name,price,type
0,"""달콤한 선물"" 허쉬 초콜릿칩 쿠키 456g / 대형통","9,900원",samll_gift
1,'네컷앨범증정' 귀여움이 2배 [마이 버디 or 젤리 베어 유리컵 2p 선물 세트],"14,900원",samll_gift
2,"[생일선물추천] [탄생석&별자리] ""당신의 하루가 늘 별처럼 빛나길"" 탄생석&별자리 두 줄 팔찌 (톡별)","11,900원",samll_gift
3,"""당충전 선물"" ""너에게는 내가 최고의 보약"" 초콜릿 과자 패키지(톡별)","19,900원",samll_gift
4,[크리스마스] 오트밀크로 만든 카카올라 생초콜릿 5종 & 유기농우유로 만든 꼬르지엘모 생초콜릿 5종,"16,900원",samll_gift
5,'반짝반짝 빛나는 너에게' 크리스탈 메리고/애플 소이캔들 + 로고 성냥증정 [선물포장],"12,500원",samll_gift
6,프랑스 프리미엄 마카롱 (12입/선물세트),"13,900원",samll_gift
7,"""언제나 응원합니다"" 떠먹는 스트로베리 초콜릿 생크림 + 아메리카노 (R) 2잔","15,700원",samll_gift
8,"""잘 될거에요"" 떠먹는 티라미수 + 아메리카노 (R) 2잔","15,500원",samll_gift
9,"""우리 사이 변치말자"" 떠먹는 아이스박스 + 아메리카노 (R) 2잔","15,500원",samll_gift
10,"22년 첫 출하 달콤한"" 제주 고당도 노지감귤 2.5kg (로얄과/11Brix이상)","12,900원",samll_gift
11,"""한알도 빠짐없이 달콤한"" 당도선별 감귤 1.5kg(로얄과/11brix이상)","9,900원",samll_gift
12,너랑 썸탈꺼야 세트(허니브레드+딸기라떼+(ICE)아메리카노),"10,200원",samll_gift
13,[단독/쇼핑백+추가증정] 캐스키드슨 핸드&바디 4종세트(워시+로션+핸드크림+배쓰솔트),"20,000원",samll_gift
14,"탐라왕 ""갓따온 제주"" 황금향 1.5kg 로얄과(7-10과/12brix이상)","15,900원",samll_gift
15,"""300년 전통"" 독일 람베르츠 베스트 쿠키 셀렉션","19,900원",samll_gift
16,제주 중문농협에서 엄선한 새콤달콤 타이벡 감귤 2.5kg(11Brix이상),"12,900원",samll_gift
17,레모나프렌즈 카카오 레모나산 하트캔 (2g x 70포)/KF94 마스크&쇼핑백 증정,"16,900원",samll_gift
18,"""디저트선물"" 프랑스 프리미엄 마카롱24입(클래식1팩+구르망1팩)","19,900원",samll_gift
19,[선물포장] 미니 퍼퓸 핸드크림 (5종 택1),"18,000원",samll_gift
20,[경남제약] 레모나S산 (1.5g x40포) + 선물용 쇼핑백/부담없는 비타민 선물,"9,900원",samll_gift
21,"""6가지 다양한 맛"" 프리미엄 디저트 골든쿠키세트(선물용쇼핑백증정)","15,900원",samll_gift
22,"쫀득쫀득, 달콤하게 사르르 녹는 소프트 초콜릿","12,000원",samll_gift
23,"""말랑 말랑 힐링템"" 춘식이 미니 페이스 쿠션","15,000원",samll_gift
24,"""누적판매 80만개"" 최고 인기 선물 밀크앤허니 호두파이","15,300원",samll_gift
25,22년 고당도 시나노골드 황금사과 2kg 과일선물 (8~10과),"19,800원",samll_gift
26,'제주 유기농 녹차로 만든' 오설록 그린티 롤케이크,"19,800원",samll_gift
27,'뭘 좋아할지 몰라서 다 준비했어' 털 실내화 슬리퍼 19종 택1 + 더스트백포장,"13,900원",samll_gift
28,"[선물추천] ""수제타르트지로 만든"" 겉바속촉 에그타르트 6구박스","19,900원",samll_gift
29,[뤂덕인기템] 잔망루피 패브릭 파우치,"12,900원",samll_gift
30,[단독] 버츠비 홀리데이 에디션(틴케이스+핸드크림+립밤2종),"12,900원",samll_gift
31,"[추천선물] ""마음을 달래는 진한"" 브라우니 쿠키세트(선물용쇼핑백증정)","13,900원",samll_gift
32,"""너는 지금 당충전이 필요해"" 인기 수입과자 럭키박스 8종 선물세트","9,900원",samll_gift
33,"""고흥 유자를 선물합니다"" 자임 꿀유자차 580g x 2병","13,900원",samll_gift
34,"""집순이 선물"" New 춘식이 피규어 유리머그 2종택1 (톡별)","9,900원",samll_gift
35,"차별화된 크기, ""특대송이"" 코끼리 샤인머스켓 800g이상(1송이/특품)","19,800원",samll_gift
36,"""행운이 깃드는 쿠키"" 고급 임페리얼 데니쉬버터쿠키셀렉션 500g(대용량)","9,900원",samll_gift
37,[선물포장/엽서] 비건 립밤 (18종 중 택1),"11,000원",samll_gift
38,"""🎁 행운선물 🎁"" 비타500데일리스틱 30포 + 10포 추가 + 선물엽서 + 쇼핑백 증정","9,900원",samll_gift
39,시그니쳐 수제초콜렛 선물세트 15입 (톡별),"19,800원",samll_gift
40,"""행복당충전"" 디디얌 인기최고 뚱카롱(마카롱) 6구세트","15,200원",samll_gift
41,"""생일 축하해"" [선물하기 단독] 딥퍼랑스 퍼퓸 핸드크림 & 립밤 듀오","19,900원",samll_gift
42,"""당충전 선물"" 사랑한""당"" 우체통 초콜릿 과자 달콤 선물세트(톡별)","12,900원",samll_gift
43,"22년 첫 출하 달콤한 ""제주 타이벡 감귤 1.5kg (로얄과/12Brix이상)","12,900원",samll_gift
44,"""맛있는 비타민 젤리"" 엔젯오리진 비타민 구미 모음전 3종 택1(귤젤리/엘더베리/비타민B 콤플렉스)","12,900원",samll_gift
45,"[추천선물] ""면역력과 피로개선"" 6년근 홍삼정 에버타임 스탠다드 홍삼 스틱 30포 (원통)","18,900원",samll_gift
46,우주 비행사 냥 LED 무드등,"15,900원",samll_gift
47,"""벨기에 초콜릿"" 파베 수제 생초콜릿 (밀크/다크)","16,900원",samll_gift
48,"""먹방 꿈나무"" New 춘식이 손잡이 앞접시 2P세트 (톡별)","14,800원",samll_gift
49,"""귀여운 생일선물"" 해피 더블 텀블러 350ml (2color)","7,900원",samll_gift
50,"""가벼운선물"" 나드 핸드크림 2개 + 립밤 2개 + 쇼핑백 증정","12,000원",samll_gift
51,"""소장하고 싶은 선물"" 피터래빗 데니쉬 버터쿠키 454g","9,900원",samll_gift
52,"""예쁨 뿜뿜"" 퓨어 석류콜라겐 골드스틱 12gX30포","19,800원",samll_gift
53,"""홈카페선물"" 벨루 곰돌이 세트(내열 머그컵2+우드소서2+우드스푼2+엽서+선물포장)외 2종","19,900원",samll_gift
54,"달콤하고 부드러운 ""장인의 맛"" 벨라플레이트 쇼콜라 롤케이크 400g","14,900원",samll_gift
55,[토닥토닥 마음선물] 해-삐! 상큼한 딸기가 그대로 쏙! 잔망루피 딸기크림떡,"16,400원",samll_gift
56,"""고마운분께감사선물"" 하루견과 감사해요/사랑해요/고마워요/축하해요/건강해요/응원해요 선물세트","14,900원",samll_gift
57,"""꿈속에서 포근"" 몽실몽실 안아줘 곰돌이 토끼 무드등 테이블조명 미니무드등","8,900원",samll_gift
58,"[효돈농협]""귤럭Luck!"" 꽃길만걷자 노지 감귤 1.5kg이상(11.5Brix/로얄과)","12,900원",samll_gift
